[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
1534M 1000k  412M 13.7G|  9   1  89   1   0   0|  10M 3090k
1616M 9.78M  152M 13.9G| 51   6  40   3   0   1|  53M 2740k
1801M 9.78M  170M 13.7G| 44   4  51   1   0   1|  18M    0 
3777M 9.92M  172M 11.7G| 37  12  51   0   0   1|1832k   36k
7903M 9.93M  180M 7870M| 30  31  39   0   0   0|8364k    0 
11.8G 9.93M  187M 3669M| 41  33  26   0   0   0|7160k    0 
13.0G 9.98M  191M 2447M| 87  12   1   0   0   0|4484k    0 
13.0G 10.0M  229M 2372M| 63   3  33   0   0   0|  23M  100k
13.1G 10.0M  424M 2164M| 22   2  75   0   0   0|  93M    0 
13.1G 10.0M  488M 2072M| 19   2  78   0   0   0| 128k 4096B
14.9G 9.86M  541M  131M| 42  17  41   0   0   0|   0     0 
15.4G  444k 7868k  217M|  7  14   0  79   0   0|  64M  451M
15.4G  440k 13.6M  150M|  8   5   0  85   0   2|1716k   19M
15.4G  588k 32.1M  143M| 47   5  12  34   0   1|  33M  102M
15.4G  380k 70.5M  144M| 66   7  15  12   0   1| 181M   51M
15.4G  376k 62.3M  151M| 81   6   1  11   0   1| 110M 4204k
15.4G 1292k 82.3M  158M| 60  19   1  19   0   1| 192M  149M
15.3G  688k 92.1M  249M| 93   4   1   1   0   1|8152k  112M
15.3G  688k  121M  197M| 91   2   6   1   0   0|  37M    0 
15.3G  572k  162M  155M| 96   3   0   0   0   1| 126M  136k
15.3G  376k  151M  154M| 90   2   7   1   0   0|  60M    0 
15.3G  528k  150M  151M| 95   4   1   0   0   0| 129M    0 
15.3G  548k  123M  161M| 89   3   8   0   0   1| 131M  208k
15.3G  544k  129M  154M| 96   3   0   0   0   1| 134M   56k
15.3G  520k  120M  158M| 89   4   7   0   0   0| 117M   68k
15.3G  912k  105M  166M| 95   3   2   0   0   0|  98M   20k
15.3G  864k  122M  154M| 87   4   8   0   0   1| 136M   12k
15.3G  808k  106M  166M| 98   2   1   0   0   0|  71M 1012k
15.3G  816k  109M  162M| 99   1   0   0   0   0|3252k   64k
15.3G  816k  109M  161M| 92   0   8   0   0   0|  72k    0 
15.3G  816k  109M  161M| 99   0   1   0   0   0| 420k    0 
15.3G  816k  110M  161M| 92   1   7   0   0   0|  72k    0 
15.3G  816k  110M  157M|100   0   0   0   0   0|4464k    0 
15.3G  824k  112M  154M| 97   0   3   0   0   0|2492k   28k
15.3G  824k  113M  153M| 94   0   6   0   0   0| 376k    0 
15.3G  824k  113M  153M|100   0   0   0   0   0|  92k    0 
15.3G  824k  113M  152M| 92   0   7   0   0   0| 880k    0 
15.3G  824k  113M  152M|100   0   0   0   0   0|  88k    0 
15.3G  832k  113M  152M| 93   0   7   0   0   0| 304k   16k
15.3G  832k  113M  152M| 99   0   1   0   0   0|8192B    0 
15.3G  832k  113M  152M| 92   0   7   0   0   0|  16k    0 
15.3G  832k  113M  152M| 99   1   0   0   0   0| 164k    0 
15.3G  832k  113M  151M| 92   0   8   0   0   0|4096B    0 
15.3G  832k  113M  151M|100   0   0   0   0   0|   0     0 
15.3G  840k  113M  151M| 92   1   7   0   0   0|  68k   16k
15.3G  848k 98.8M  162M| 99   1   0   0   0   0|  22M  652k
15.3G 1812k 98.8M  161M| 92   1   7   0   0   0|1148k    0 
15.3G 1812k 99.2M  161M| 99   0   0   0   0   0| 692k    0 
15.3G 1812k 99.3M  160M| 93   0   7   0   0   0| 196k    0 
15.3G 1820k 99.3M  160M| 92   0   8   0   0   0|  12k   52k
15.3G 1820k 99.3M  160M| 95   0   4   0   0   0|  96k    0 
15.3G 1820k 99.3M  160M| 97   0   3   0   0   0|  56k    0 
15.3G 1820k 99.3M  160M| 92   1   7   0   0   0|  20k    0 
15.3G 1820k 99.3M  160M| 93   0   7   0   0   0| 132k    0 
15.3G 1828k  104M  156M| 99   0   0   0   0   0|4748k   16k
15.3G 1428k 93.0M  174M| 91   2   7   0   0   0|  63M  344k
15.3G 1156k  104M  165M| 91   2   7   0   0   0|  79M 1152k
15.3G  688k  114M  152M| 95   4   1   0   0   0| 119M  808k
15.3G  620k  118M  149M| 91   3   6   0   0   0| 130M  676k
15.3G  580k  110M  156M| 89   3   7   0   0   0| 119M  216k
15.3G  572k  102M  165M| 89   3   7   0   0   0| 117M  784k
15.3G  532k  105M  161M| 97   3   0   0   0   0| 134M  636k
15.3G  532k 97.3M  160M| 93   3   3   0   0   0|  34M  304k
15.3G  624k 91.1M  165M| 90   2   8   0   0   0|  39M  396k
15.3G  620k 94.3M  161M| 96   3   0   0   0   1| 147M 1172k
15.3G  644k  105M  149M| 89   3   8   0   0   0| 109M  296k
15.3G  644k 95.1M  157M| 98   2   0   0   0   0|  76M   72k
15.3G  792k  105M  146M| 92   1   7   0   0   0|  34M 4096B
15.3G 1184k 88.0M  161M| 99   1   0   0   0   0|6564k  108k
15.3G 1184k 88.9M  158M| 92   1   7   0   0   0|2628k    0 
15.3G 1196k 89.1M  157M|100   0   0   0   0   0| 492k   92k
15.3G 1196k 89.1M  157M| 93   0   7   0   0   0|  60k    0 
15.3G 1196k 90.0M  156M| 99   0   0   0   0   0|1572k    0 
15.3G 1196k 90.6M  155M| 99   0   0   0   0   0| 656k    0 
15.3G 1196k 90.7M  155M| 92   0   8   0   0   0| 200k    0 
15.3G 1196k 91.7M  153M|100   0   0   0   0   0|1696k    0 
15.3G 1204k 93.7M  151M| 92   0   7   0   0   0|2336k   16k
15.3G 1204k 93.8M  151M| 99   0   0   0   0   0| 408k    0 
15.3G 1204k 93.8M  151M| 93   0   7   0   0   0|  80k    0 
15.3G 1204k 93.9M  150M| 99   0   0   0   0   0|  96k    0 
15.3G 1204k 94.1M  150M|100   0   0   0   0   0| 280k    0 
15.3G  748k 86.5M  158M| 92   1   7   0   0   0|6804k  784k
15.4G  748k 86.6M  157M| 99   1   1   0   0   0| 352k    0 
15.4G  748k 86.6M  156M| 92   0   7   0   0   0| 152k    0 
15.4G  748k 86.7M  156M|100   0   0   0   0   0| 336k    0 
15.4G  748k 89.0M  153M| 93   0   7   0   0   0|2480k    0 
15.4G  896k 90.3M  152M| 99   1   0   0   0   0|1692k   72k
15.4G  896k 90.7M  151M| 93   0   7   0   0   0| 684k    0 
15.4G  896k 90.9M  151M| 92   0   8   0   0   0|  16k    0 
15.4G  896k 90.9M  151M| 99   1   0   0   0   0| 116k    0 
15.4G  896k 90.9M  151M| 93   0   7   0   0   0|  36k    0 
15.4G  896k 90.9M  151M| 99   0   0   0   0   0|  44k    0 
15.4G  904k 90.9M  151M| 93   0   7   0   0   0| 192k   24k
15.4G  904k 92.3M  149M| 92   0   8   0   0   0|1824k    0 
15.4G  904k 92.3M  149M| 99   1   0   0   0   0|  64k    0 
15.4G  548k 92.6M  150M| 91   2   7   0   0   0|  41M  376k
15.3G  432k 91.8M  152M| 90   2   8   0   0   0|  55M  396k
15.3G  424k 85.7M  159M| 97   3   0   0   0   1|  95M 1552k
