"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_flink_16_2133_2_0_8.csv",,,,"Date:","03 Jun 2018 16:28:15 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1608273920.0,1024000.0,431886336.0,14697062400.0,9.327,0.704,89.185,0.718,0.0,0.066,10372697.911,3163743.380
1694150656.0,10252288.0,159236096.0,14874607616.0,50.500,5.875,39.750,2.875,0.0,1.0,55816192.0,2805760.0
1888575488.0,10256384.0,178302976.0,14661111808.0,44.224,3.975,50.559,0.621,0.0,0.621,18894848.0,0.0
3960455168.0,10399744.0,179949568.0,12587442176.0,36.725,11.538,50.993,0.0,0.0,0.744,1875968.0,36864.0
8286724096.0,10407936.0,188514304.0,8252600320.0,29.950,30.827,39.223,0.0,0.0,0.0,8564736.0,0.0
12684402688.0,10407936.0,195739648.0,3847696384.0,41.220,33.126,25.529,0.125,0.0,0.0,7331840.0,0.0
13961846784.0,10469376.0,200400896.0,2565529600.0,87.077,11.920,0.878,0.0,0.0,0.125,4591616.0,0.0
14000435200.0,10526720.0,239984640.0,2487300096.0,63.433,2.985,33.209,0.124,0.0,0.249,23805952.0,102400.0
14013509632.0,10530816.0,444739584.0,2269466624.0,22.375,2.250,75.125,0.0,0.0,0.250,97660928.0,0.0
14043385856.0,10534912.0,512053248.0,2172272640.0,19.178,2.366,77.958,0.125,0.0,0.374,131072.0,4096.0
16023711744.0,10334208.0,567042048.0,137158656.0,41.761,17.233,41.006,0.0,0.0,0.0,0.0,0.0
16502161408.0,454656.0,8056832.0,227573760.0,6.816,13.580,0.468,78.876,0.0,0.260,67522560.0,473399296.0
16566394880.0,450560.0,14221312.0,157179904.0,8.197,4.918,0.0,85.246,0.0,1.639,1757184.0,19779584.0
16553537536.0,602112.0,33677312.0,150429696.0,47.044,5.419,12.069,33.990,0.0,1.478,34619392.0,107343872.0
16512557056.0,389120.0,73895936.0,151404544.0,66.212,6.611,14.690,11.752,0.0,0.735,189362176.0,53280768.0
16514240512.0,385024.0,65363968.0,158257152.0,81.385,5.692,1.231,11.077,0.0,0.615,115355648.0,4304896.0
16485421056.0,1323008.0,86347776.0,165154816.0,59.877,19.140,1.141,19.227,0.0,0.615,201568256.0,156565504.0
16379904000.0,704512.0,96624640.0,261013504.0,93.096,3.563,1.114,1.114,0.0,1.114,8347648.0,117665792.0
16403726336.0,704512.0,127381504.0,206434304.0,90.909,1.743,6.102,0.872,0.0,0.374,39219200.0,0.0
