"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_hadoop_16_2133_2_0_8.csv",,,,"Date:","03 Jun 2018 18:21:20 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
698105856.0,4509696.0,62152704.0,15973478400.0,10.888,0.809,87.348,0.877,0.0,0.078,12659720.835,3525796.531
748744704.0,10760192.0,122773504.0,15855968256.0,10.831,3.652,79.849,5.290,0.0,0.378,68231168.0,4096.0
824164352.0,10764288.0,133566464.0,15769751552.0,21.106,1.382,76.382,1.131,0.0,0.0,10825728.0,0.0
770686976.0,11509760.0,137326592.0,15818723328.0,19.750,2.250,77.250,0.375,0.0,0.375,4403200.0,36864.0
840728576.0,11509760.0,139534336.0,15746473984.0,26.394,1.487,71.747,0.248,0.0,0.124,2228224.0,0.0
883642368.0,11534336.0,144322560.0,15698747392.0,14.856,1.623,79.526,3.496,0.0,0.499,29331456.0,303104.0
945647616.0,11591680.0,148606976.0,15632400384.0,18.579,2.369,72.818,5.112,0.0,1.122,29986816.0,69632.0
989933568.0,11591680.0,149397504.0,15587323904.0,9.114,0.874,87.516,1.873,0.0,0.624,22691840.0,0.0
1032781824.0,11591680.0,149467136.0,15544406016.0,8.597,1.138,88.496,1.517,0.0,0.253,39133184.0,0.0
1079685120.0,11591680.0,149544960.0,15497424896.0,7.241,1.623,85.268,4.994,0.0,0.874,45162496.0,0.0
1147002880.0,11599872.0,151199744.0,15428444160.0,5.323,1.267,90.368,2.788,0.0,0.253,65167360.0,81920.0
1247633408.0,11640832.0,151568384.0,15327404032.0,13.452,1.650,80.964,3.046,0.0,0.888,61222912.0,0.0
1296805888.0,11644928.0,151658496.0,15278137344.0,8.260,2.253,87.610,1.627,0.0,0.250,45019136.0,0.0
1381744640.0,11694080.0,152604672.0,15192203264.0,17.528,3.026,78.310,0.757,0.0,0.378,20135936.0,4096.0
1460174848.0,11694080.0,152883200.0,15113494528.0,34.582,1.998,62.797,0.125,0.0,0.499,7217152.0,0.0
1507618816.0,11694080.0,156454912.0,15062478848.0,25.031,1.252,72.841,0.501,0.0,0.375,4689920.0,16384.0
1640001536.0,11710464.0,161239040.0,14925295616.0,43.548,2.233,53.226,0.496,0.0,0.496,6811648.0,176128.0
1686622208.0,11710464.0,161767424.0,14878146560.0,35.564,1.735,60.967,1.115,0.0,0.620,6303744.0,20480.0
1655205888.0,11710464.0,161857536.0,14909472768.0,1.629,0.627,97.243,0.501,0.0,0.0,2199552.0,0.0
1744310272.0,11821056.0,162902016.0,14819213312.0,21.205,4.893,73.024,0.627,0.0,0.251,8368128.0,8192.0
2101075968.0,11821056.0,162947072.0,14462402560.0,86.289,7.044,6.667,0.0,0.0,0.0,200704.0,16384.0
2332463104.0,11829248.0,162975744.0,14230978560.0,93.225,5.772,1.004,0.0,0.0,0.0,188416.0,327680.0
2463858688.0,11837440.0,165425152.0,14097125376.0,94.605,3.513,1.757,0.0,0.0,0.125,2600960.0,0.0
