"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_spark_16_2133_2_0_8.csv",,,,"Date:","03 Jun 2018 17:16:15 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1455337472.0,1372160.0,83202048.0,15198334976.0,10.101,0.778,88.215,0.837,0.0,0.070,11815617.147,3355381.013
1511424000.0,10203136.0,117219328.0,15099400192.0,13.557,2.861,79.104,3.731,0.0,0.746,47996928.0,4096.0
1592131584.0,10211328.0,128684032.0,15007219712.0,22.625,1.750,74.375,1.250,0.0,0.0,11558912.0,0.0
1516261376.0,10379264.0,135835648.0,15075770368.0,15.356,2.247,81.273,0.874,0.0,0.250,8146944.0,77824.0
1593012224.0,10842112.0,145956864.0,14988435456.0,23.087,2.509,72.898,1.004,0.0,0.502,11816960.0,0.0
1715179520.0,11005952.0,155865088.0,14856196096.0,30.952,2.256,65.915,0.752,0.0,0.125,9953280.0,0.0
2092134400.0,11337728.0,164556800.0,14470217728.0,62.531,5.138,31.454,0.627,0.0,0.251,8663040.0,352256.0
2480205824.0,11350016.0,170885120.0,14075805696.0,64.240,4.342,30.779,0.255,0.0,0.383,7286784.0,4096.0
3118886912.0,11366400.0,171769856.0,13436223488.0,66.040,5.138,28.697,0.0,0.0,0.125,1327104.0,0.0
3728355328.0,11427840.0,187387904.0,12811075584.0,66.625,6.250,25.875,0.875,0.0,0.375,18833408.0,221184.0
5381136384.0,11440128.0,296136704.0,11049533440.0,80.905,9.296,8.794,0.503,0.0,0.503,109338624.0,0.0
6493528064.0,11448320.0,447238144.0,9786032128.0,69.544,8.631,19.729,0.863,0.0,1.233,151298048.0,188416.0
6512812032.0,11448320.0,611897344.0,9602088960.0,76.280,2.996,18.976,1.248,0.0,0.499,164925440.0,0.0
6527201280.0,11448320.0,778596352.0,9421000704.0,75.970,3.504,18.523,1.252,0.0,0.751,166387712.0,0.0
7015317504.0,11448320.0,933523456.0,8777957376.0,74.497,4.397,19.347,1.256,0.0,0.503,155373568.0,0.0
7044186112.0,11517952.0,1049165824.0,8633376768.0,86.875,4.500,7.750,0.375,0.0,0.500,114872320.0,0.0
7077662720.0,11526144.0,1213452288.0,8435605504.0,78.598,2.503,17.397,0.501,0.0,1.001,164147200.0,110592.0
7101050880.0,11526144.0,1380990976.0,8244678656.0,75.188,3.008,20.927,0.501,0.0,0.376,167624704.0,0.0
7122575360.0,11526144.0,1546997760.0,8057147392.0,75.940,3.383,19.674,0.627,0.0,0.376,166309888.0,0.0
7145566208.0,11526144.0,1707499520.0,7873654784.0,75.931,3.102,19.107,0.868,0.0,0.993,161427456.0,0.0
7167434752.0,11579392.0,1844113408.0,7715119104.0,81.988,2.733,13.665,0.994,0.0,0.621,135016448.0,0.0
7189569536.0,11632640.0,2020491264.0,7516553216.0,76.161,3.388,18.946,1.004,0.0,0.502,176418816.0,3510272.0
7215083520.0,11632640.0,2189291520.0,7322238976.0,75.945,3.023,19.899,0.630,0.0,0.504,169385984.0,0.0
7240257536.0,11632640.0,2357485568.0,7128870912.0,75.594,2.628,20.651,0.626,0.0,0.501,167587840.0,0.0
7260995584.0,11632640.0,2515288064.0,6950330368.0,75.441,2.519,21.033,0.378,0.0,0.630,158068736.0,0.0
7271747584.0,11677696.0,2663817216.0,6791004160.0,77.323,3.717,16.976,1.239,0.0,0.743,148410368.0,0.0
7290032128.0,11694080.0,2847207424.0,6589313024.0,76.352,3.145,19.497,0.755,0.0,0.252,182788096.0,225280.0
7302701056.0,11694080.0,3017359360.0,6406492160.0,75.126,3.015,20.477,0.879,0.0,0.503,170541056.0,0.0
7309914112.0,11694080.0,3187494912.0,6229143552.0,74.500,3.250,21.0,0.500,0.0,0.750,170332160.0,0.0
7316484096.0,11833344.0,3340435456.0,6069493760.0,75.503,2.387,20.603,1.005,0.0,0.503,152735744.0,0.0
7325175808.0,11870208.0,3509227520.0,5891973120.0,77.290,4.141,17.064,1.004,0.0,0.502,168595456.0,0.0
7330922496.0,11878400.0,3679744000.0,5715701760.0,75.0,3.0,19.875,1.375,0.0,0.750,170700800.0,131072.0
7336075264.0,11878400.0,3850510336.0,5539782656.0,74.690,3.474,20.844,0.744,0.0,0.248,170172416.0,0.0
7340339200.0,11878400.0,4018958336.0,5367070720.0,74.717,3.145,20.881,0.755,0.0,0.503,168988672.0,0.0
7354486784.0,11902976.0,4155183104.0,5216673792.0,83.479,3.880,12.140,0.250,0.0,0.250,135528448.0,0.0
7368925184.0,11919360.0,4321439744.0,5035962368.0,85.554,3.611,9.714,0.623,0.0,0.498,166436864.0,0.0
7371849728.0,11923456.0,4490973184.0,4863500288.0,75.910,2.635,19.824,0.878,0.0,0.753,169652224.0,2686976.0
7375671296.0,11931648.0,4660387840.0,4690255872.0,74.343,3.254,21.026,0.501,0.0,0.876,169627648.0,180224.0
7373185024.0,11931648.0,4827570176.0,4525559808.0,75.063,2.519,21.159,0.882,0.0,0.378,166727680.0,0.0
7377735680.0,11964416.0,4985204736.0,4363341824.0,80.370,3.951,13.951,0.741,0.0,0.988,158044160.0,0.0
7393533952.0,11980800.0,5146001408.0,4186730496.0,80.779,3.141,14.698,1.131,0.0,0.251,160256000.0,0.0
7386382336.0,11980800.0,5316222976.0,4023660544.0,74.529,3.011,21.079,0.753,0.0,0.627,170184704.0,0.0
7389499392.0,11988992.0,5486571520.0,3850186752.0,75.315,2.771,19.773,1.763,0.0,0.378,170373120.0,143360.0
