"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_flink_naivebayes_16_2133_2_0_12.csv",,,,"Date:","15 Mar 2018 13:44:02 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
2150420480.0,480579584.0,1060499456.0,13046013952.0,12.475,0.338,86.949,0.152,0.0,0.086,13737213.272,14506696.798
1903140864.0,5668864.0,100999168.0,14727704576.0,14.616,5.945,76.301,1.817,0.0,1.321,40468480.0,208896.0
2446458880.0,5816320.0,123453440.0,14161784832.0,32.309,3.738,62.957,0.664,0.0,0.332,23040000.0,0.0
4384587776.0,5963776.0,130899968.0,12216061952.0,16.153,8.243,74.854,0.583,0.0,0.167,7098368.0,32768.0
9108500480.0,5967872.0,139251712.0,7483793408.0,26.018,27.847,45.802,0.083,0.0,0.249,8560640.0,0.0
13394018304.0,5971968.0,146788352.0,3190734848.0,41.743,29.544,28.382,0.332,0.0,0.0,7565312.0,0.0
14178570240.0,6471680.0,168161280.0,2384310272.0,87.993,6.465,5.290,0.168,0.0,0.084,40112128.0,184320.0
14200164352.0,6488064.0,394194944.0,2136666112.0,19.668,2.241,77.593,0.0,0.0,0.498,114536448.0,0.0
14890696704.0,6496256.0,407388160.0,1432932352.0,33.500,5.486,60.599,0.083,0.0,0.333,1765376.0,0.0
16549322752.0,716800.0,29315072.0,158158848.0,14.345,24.270,23.436,37.281,0.0,0.667,3760128.0,321236992.0
16494309376.0,684032.0,20418560.0,222101504.0,21.536,7.596,26.210,44.407,0.0,0.250,29020160.0,320401408.0
16370454528.0,1101824.0,204251136.0,161705984.0,8.557,2.936,83.473,4.782,0.0,0.252,135917568.0,204808192.0
16314183680.0,1507328.0,251895808.0,169926656.0,64.524,2.421,29.549,3.255,0.0,0.250,404033536.0,100487168.0
16343199744.0,1183744.0,206618624.0,186511360.0,78.043,2.138,18.997,0.164,0.0,0.658,50012160.0,17510400.0
16336064512.0,1327104.0,220729344.0,179392512.0,80.133,1.746,17.789,0.083,0.0,0.249,107294720.0,16932864.0
16319275008.0,1572864.0,258605056.0,158060544.0,80.968,2.087,16.027,0.250,0.0,0.668,217231360.0,27975680.0
16261152768.0,1581056.0,296980480.0,177799168.0,82.152,2.836,14.679,0.0,0.0,0.334,401240064.0,44154880.0
16217432064.0,1568768.0,345112576.0,173400064.0,88.103,3.411,8.153,0.0,0.0,0.333,477749248.0,40591360.0
16184205312.0,1568768.0,378175488.0,173563904.0,80.167,3.583,15.583,0.083,0.0,0.583,412684288.0,31887360.0
16164814848.0,1568768.0,407236608.0,163893248.0,83.028,2.246,14.309,0.0,0.0,0.416,291586048.0,17510400.0
16137494528.0,1568768.0,435417088.0,163033088.0,80.964,3.574,14.879,0.0,0.0,0.582,415981568.0,24326144.0
16125665280.0,1581056.0,430641152.0,179625984.0,80.572,3.448,15.475,0.084,0.0,0.421,388030464.0,15503360.0
16110292992.0,1519616.0,464166912.0,161533952.0,84.679,2.998,11.907,0.167,0.0,0.250,420081664.0,18264064.0
16090128384.0,1499136.0,481681408.0,164204544.0,83.499,3.400,12.687,0.083,0.0,0.332,489476096.0,21237760.0
16065245184.0,1372160.0,491622400.0,179273728.0,80.466,3.242,15.711,0.083,0.0,0.499,404422656.0,21618688.0
16040845312.0,1228800.0,516767744.0,178671616.0,83.278,2.676,13.545,0.0,0.0,0.502,424366080.0,25849856.0
16022540288.0,1236992.0,532393984.0,181342208.0,87.687,3.744,8.403,0.0,0.0,0.166,485834752.0,14688256.0
16012279808.0,1245184.0,539185152.0,184803328.0,81.727,3.018,14.920,0.0,0.0,0.335,417861632.0,10080256.0
16003022848.0,1245184.0,572076032.0,161169408.0,80.837,3.096,15.481,0.084,0.0,0.502,407121920.0,12029952.0
