"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_spark_16_2133_2_0_12.csv",,,,"Date:","15 Mar 2018 00:53:20 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1010720768.0,5050368.0,66023424.0,15655718912.0,24.423,0.452,74.681,0.318,0.0,0.126,21261104.712,7951890.685
1098858496.0,7041024.0,81117184.0,15550496768.0,13.189,0.835,84.558,1.252,0.0,0.167,16826368.0,0.0
1016328192.0,7569408.0,92221440.0,15621394432.0,10.050,0.838,87.688,1.256,0.0,0.168,13680640.0,40960.0
1111076864.0,7847936.0,99966976.0,15518621696.0,12.177,0.917,86.072,0.584,0.0,0.250,7647232.0,32768.0
1232232448.0,8011776.0,111607808.0,15385661440.0,17.863,0.918,80.384,0.751,0.0,0.083,11943936.0,0.0
1604988928.0,8704000.0,121200640.0,15002619904.0,34.367,2.682,61.358,1.257,0.0,0.335,13905920.0,274432.0
1982021632.0,8716288.0,131076096.0,14615699456.0,46.482,2.680,49.916,0.754,0.0,0.168,10674176.0,8192.0
2748317696.0,8740864.0,131887104.0,13848567808.0,45.844,3.442,50.462,0.084,0.0,0.168,610304.0,106496.0
3332034560.0,9076736.0,210563072.0,13185839104.0,55.546,3.336,40.200,0.417,0.0,0.500,158253056.0,262144.0
5967060992.0,9076736.0,377569280.0,10383806464.0,81.894,10.059,7.795,0.0,0.0,0.251,334024704.0,0.0
6051504128.0,9076736.0,636747776.0,10040184832.0,83.320,2.988,12.780,0.332,0.0,0.581,519979008.0,0.0
6384971776.0,9084928.0,895459328.0,9447997440.0,83.236,3.086,13.094,0.250,0.0,0.334,518057984.0,217088.0
6613676032.0,9457664.0,1151086592.0,8963293184.0,84.448,2.592,12.458,0.251,0.0,0.251,511504384.0,0.0
6647652352.0,9461760.0,1401741312.0,8678658048.0,83.667,2.583,13.333,0.167,0.0,0.250,501198848.0,0.0
6702809088.0,9531392.0,1577930752.0,8447242240.0,95.167,2.0,2.500,0.083,0.0,0.250,350621696.0,0.0
6746275840.0,9555968.0,1864626176.0,8117055488.0,85.0,2.333,11.667,0.250,0.0,0.750,573919232.0,0.0
6776225792.0,9596928.0,2129838080.0,7821852672.0,83.292,2.078,13.300,0.333,0.0,0.998,529588224.0,3141632.0
6818328576.0,9596928.0,2384801792.0,7524786176.0,83.709,2.172,13.701,0.167,0.0,0.251,509243392.0,0.0
6839586816.0,9596928.0,2643730432.0,7244599296.0,82.652,2.585,14.262,0.250,0.0,0.250,518803456.0,0.0
6859231232.0,9666560.0,2875666432.0,6992949248.0,88.629,2.007,8.863,0.167,0.0,0.334,463937536.0,0.0
6850162688.0,10133504.0,3137261568.0,6739955712.0,83.820,1.918,13.428,0.334,0.0,0.500,517210112.0,0.0
6866104320.0,10141696.0,3402997760.0,6458269696.0,82.598,2.331,14.405,0.167,0.0,0.500,531140608.0,311296.0
6874202112.0,10141696.0,3659984896.0,6193184768.0,83.250,2.094,13.987,0.335,0.0,0.335,515452928.0,0.0
6879186944.0,10141696.0,3921297408.0,5926887424.0,82.724,2.326,14.037,0.249,0.0,0.664,523292672.0,0.0
6888304640.0,10174464.0,4151877632.0,5687156736.0,84.294,1.420,13.283,0.251,0.0,0.752,458326016.0,0.0
6907420672.0,10211328.0,4425310208.0,5394571264.0,89.434,2.246,7.404,0.166,0.0,0.749,545243136.0,0.0
6922010624.0,10219520.0,4686155776.0,5119127552.0,84.833,2.667,12.083,0.250,0.0,0.167,523567104.0,159744.0
6926110720.0,10219520.0,4950274048.0,4850909184.0,82.739,2.158,14.357,0.166,0.0,0.581,529534976.0,0.0
6919532544.0,10219520.0,5206286336.0,4601475072.0,82.779,2.413,14.060,0.166,0.0,0.582,511102976.0,0.0
6924734464.0,10240000.0,5399142400.0,4403396608.0,80.498,1.411,17.261,0.083,0.0,0.747,383557632.0,0.0
6956179456.0,10256384.0,5427138560.0,4343939072.0,31.146,0.831,67.442,0.0,0.0,0.581,53469184.0,0.0
7164526592.0,10297344.0,5427953664.0,4134735872.0,85.847,3.475,8.729,1.271,0.0,0.678,20029440.0,5419008.0
1421045760.0,10313728.0,5423112192.0,9883041792.0,22.867,3.977,71.500,0.746,0.0,0.911,4251648.0,626688.0
1449664512.0,4931584.0,77946880.0,15204970496.0,8.216,5.145,84.398,1.328,0.0,0.913,18411520.0,1929216.0
1536782336.0,5910528.0,89747456.0,15105073152.0,14.855,1.079,82.905,0.996,0.0,0.166,12787712.0,0.0
1469075456.0,6504448.0,98578432.0,15163355136.0,10.126,0.837,87.950,0.837,0.0,0.251,10772480.0,73728.0
1527013376.0,6942720.0,109023232.0,15094534144.0,13.833,0.917,84.083,0.833,0.0,0.333,10907648.0,0.0
1687662592.0,6955008.0,119848960.0,14923046912.0,21.512,1.329,75.997,0.664,0.0,0.498,10801152.0,0.0
2104606720.0,7712768.0,128524288.0,14496669696.0,46.494,2.421,50.334,0.501,0.0,0.250,9183232.0,270336.0
2563887104.0,7716864.0,133976064.0,14031933440.0,41.172,2.678,55.397,0.586,0.0,0.167,7000064.0,8192.0
3577024512.0,7766016.0,135348224.0,13017374720.0,56.073,4.409,38.935,0.416,0.0,0.166,626688.0,655360.0
5519065088.0,7794688.0,687321088.0,10523332608.0,60.573,12.637,25.274,0.674,0.0,0.842,653111296.0,286720.0
6683254784.0,8073216.0,1984802816.0,8061382656.0,78.831,15.919,3.641,0.085,0.0,1.524,1315913728.0,0.0
6732021760.0,8159232.0,3151458304.0,6845874176.0,72.255,12.596,9.021,4.426,0.0,1.702,1152405504.0,1014558720.0
7225634816.0,8179712.0,4681474048.0,4822224896.0,78.220,15.254,1.864,2.966,0.0,1.695,1542959104.0,1255391232.0
7262969856.0,8245248.0,5889654784.0,3576643584.0,70.790,13.488,5.584,8.591,0.0,1.546,1171140608.0,1247162368.0
7320961024.0,8282112.0,7611928576.0,1796341760.0,77.323,16.113,1.194,3.836,0.0,1.535,1790590976.0,1004576768.0
7376883712.0,8335360.0,8809299968.0,542994432.0,65.348,13.500,9.028,10.920,0.0,1.204,1212362752.0,1268768768.0
7416524800.0,8155136.0,9152765952.0,160067584.0,72.530,16.724,2.600,6.672,0.0,1.473,1469976576.0,1195323392.0
7428538368.0,8183808.0,9118162944.0,182628352.0,18.803,5.902,64.165,10.455,0.0,0.675,287334400.0,1882243072.0
1793601536.0,8200192.0,9117204480.0,5818507264.0,5.171,3.169,91.076,0.250,0.0,0.334,2633728.0,98304.0
1793671168.0,8245248.0,9117421568.0,5818175488.0,0.084,0.587,96.728,2.601,0.0,0.0,258048.0,1142620160.0
1701892096.0,622592.0,2303234048.0,12731764736.0,0.084,7.185,91.646,1.003,0.0,0.084,782336.0,417124352.0
1700372480.0,5087232.0,80932864.0,14951120896.0,6.005,3.253,88.574,1.751,0.0,0.417,21479424.0,233472.0
1784680448.0,5931008.0,92516352.0,14854385664.0,14.453,0.835,83.459,1.003,0.0,0.251,12455936.0,0.0
1718296576.0,6516736.0,100888576.0,14911811584.0,10.448,1.078,87.562,0.580,0.0,0.332,9043968.0,73728.0
1812054016.0,6750208.0,111304704.0,14807404544.0,14.238,1.082,83.680,0.749,0.0,0.250,10891264.0,0.0
2115182592.0,7057408.0,121192448.0,14494081024.0,27.092,1.906,69.925,0.663,0.0,0.414,10846208.0,0.0
2430590976.0,7098368.0,131969024.0,14167855104.0,49.917,2.667,47.0,0.250,0.0,0.167,10457088.0,856064.0
3013062656.0,7442432.0,133255168.0,13583753216.0,38.123,3.156,58.306,0.083,0.0,0.332,2019328.0,0.0
3636023296.0,7606272.0,134668288.0,12959215616.0,37.708,2.907,58.638,0.166,0.0,0.581,1200128.0,258048.0
4492525568.0,7626752.0,173805568.0,12063555584.0,32.385,3.264,63.682,0.167,0.0,0.502,78606336.0,0.0
5116743680.0,7626752.0,196476928.0,11416666112.0,29.083,2.0,68.583,0.083,0.0,0.250,44875776.0,0.0
5452328960.0,7634944.0,216244224.0,11061305344.0,38.825,1.325,58.940,0.083,0.0,0.828,39817216.0,196608.0
5744197632.0,7634944.0,229081088.0,10756599808.0,39.901,1.396,57.225,0.0,0.0,1.478,25714688.0,0.0
5816217600.0,7634944.0,244822016.0,10668838912.0,51.193,0.247,46.914,0.082,0.0,1.564,31248384.0,0.0
6138974208.0,7634944.0,262914048.0,10327990272.0,46.667,1.417,51.583,0.083,0.0,0.250,36220928.0,0.0
6544285696.0,7634944.0,276566016.0,9909026816.0,55.574,1.830,42.512,0.0,0.0,0.083,27828224.0,0.0
6745554944.0,7651328.0,291905536.0,9692401664.0,48.096,0.911,49.834,0.083,0.0,1.076,30613504.0,1028096.0
6845652992.0,7651328.0,296824832.0,9587384320.0,35.977,0.584,63.272,0.0,0.0,0.167,9469952.0,0.0
7198076928.0,7651328.0,308101120.0,9223684096.0,46.912,2.003,50.835,0.083,0.0,0.167,22577152.0,0.0
7349567488.0,7655424.0,322404352.0,9057886208.0,51.372,0.831,47.465,0.083,0.0,0.249,28512256.0,0.0
7473958912.0,7655424.0,336957440.0,8918941696.0,44.546,0.749,54.371,0.083,0.0,0.250,29376512.0,0.0
7598997504.0,7663616.0,349933568.0,8780918784.0,45.507,0.582,53.411,0.0,0.0,0.499,25718784.0,139264.0
7734042624.0,7663616.0,362389504.0,8633417728.0,46.678,0.332,52.243,0.083,0.0,0.664,25198592.0,0.0
7874736128.0,7663616.0,375226368.0,8479887360.0,47.517,0.828,50.828,0.0,0.0,0.828,25485312.0,0.0
8024539136.0,7663616.0,384409600.0,8320901120.0,47.403,0.989,50.618,0.082,0.0,0.907,18411520.0,0.0
8024707072.0,7663616.0,385859584.0,8319283200.0,25.146,0.083,74.521,0.0,0.0,0.250,2949120.0,0.0
8157499392.0,7663616.0,394899456.0,8177451008.0,38.691,0.829,59.569,0.083,0.0,0.829,18132992.0,0.0
8487297024.0,7671808.0,409006080.0,7833538560.0,42.231,1.322,55.124,0.0,0.0,1.322,28246016.0,36864.0
8587522048.0,7671808.0,423919616.0,7718400000.0,44.971,0.582,53.865,0.083,0.0,0.499,30334976.0,0.0
8720211968.0,7671808.0,437526528.0,7572103168.0,45.183,0.332,53.987,0.0,0.0,0.498,26775552.0,0.0
8874622976.0,7671808.0,449728512.0,7405490176.0,49.668,0.664,49.252,0.083,0.0,0.332,24674304.0,0.0
9026666496.0,7671808.0,458121216.0,7245053952.0,50.291,0.583,48.460,0.0,0.0,0.666,16580608.0,0.0
9190342656.0,7680000.0,458899456.0,7080591360.0,51.917,0.750,47.167,0.083,0.0,0.083,1609728.0,28672.0
9190481920.0,7688192.0,458907648.0,7080435712.0,26.311,0.167,73.272,0.0,0.0,0.250,24576.0,0.0
9190858752.0,7688192.0,466165760.0,7072800768.0,32.110,0.167,67.556,0.0,0.0,0.167,28672.0,0.0
9191325696.0,7688192.0,474984448.0,7063515136.0,25.083,0.083,74.667,0.0,0.0,0.167,40960.0,0.0
9191563264.0,7688192.0,483778560.0,7054483456.0,25.354,0.083,74.395,0.0,0.0,0.167,20480.0,0.0
9191964672.0,7700480.0,492650496.0,7045197824.0,25.063,0.167,74.603,0.084,0.0,0.084,172032.0,27402240.0
9193021440.0,7700480.0,501403648.0,7035387904.0,25.250,0.083,74.417,0.0,0.0,0.250,32768.0,0.0
9193078784.0,7700480.0,510504960.0,7026229248.0,25.417,0.250,74.250,0.0,0.0,0.083,36864.0,131072.0
