application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW

naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.14688,0.916636,0.603225,23.4664,44.9337,0.965078,0.0458069,45.0237,0.967012,532.503
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.06101,0.751963,0.517711,27.552,45.2339,1.33872,0.0464795,45.3246,1.3414,2889.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.05614,0.776431,0.595094,22.5155,44.0388,1.33385,0.0452819,44.1271,1.33653,2869.59
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.519305,0.456664,0.358505,51.6191,53.1349,2.61982,0.0556433,53.2414,2.62507,13111.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.415098,0.321961,0.248336,91.9495,61.8531,2.32967,0.0640544,61.977,2.33434,12538.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.463684,0.266949,0.24352,52.6259,52.9448,2.73982,0.0555732,53.0509,2.74531,15940.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.014,0.422418,0.334663,0.315973,54.5305,54.1648,2.39792,0.0573546,53.417,2.36482,12680.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.034,0.527266,0.271368,0.322363,13.5886,43.6161,1.78442,0.0469442,42.182,1.72575,7260.11
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.113,0.653757,0.768267,0.525457,11.8801,44.7316,1.07825,0.0509864,40.1901,0.96878,932.057
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.627196,0.762988,0.538878,4.90538,36.593,0.880087,0.0374356,36.6296,0.880968,351.504
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.517336,0.743296,0.533764,10.6719,37.8698,0.864985,0.0386961,37.9077,0.865851,343.021
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.651967,0.811435,0.643293,3.58559,36.5239,0.958606,0.0374076,36.5971,0.960527,511.495
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.63083,0.906247,0.622404,8.16339,38.8233,0.926644,0.0396704,38.9011,0.928502,290.428
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.37223,0.900414,0.616541,7.98744,38.5323,0.861283,0.0393148,38.6095,0.863009,285.928
