application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW

wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.14851,0.937398,0.609021,23.5867,45.0027,0.879995,0.0457909,45.0929,0.881758,421.614
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.05345,0.79705,0.532111,26.6315,44.8049,1.12815,0.0458412,44.8947,1.13041,2221.07
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.06915,0.711484,0.561216,23.1694,43.7471,1.23855,0.0448956,43.8347,1.24103,3091.01
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.510821,0.370073,0.342247,47.09,50.8855,2.16542,0.0529448,50.9875,2.16976,10967.5
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.457186,0.394538,0.290944,79.8932,59.1949,2.32503,0.0613969,59.3136,2.32969,12855.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.353949,0.167279,0.184285,63.5302,55.6849,2.78838,0.0583563,55.7965,2.79397,17313.5
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.101,0.497642,0.374524,0.332738,57.962,58.7581,2.32021,0.0672472,53.3679,2.10737,10847.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.013,0.329216,0.108485,0.199304,6.04444,38.5901,1.67523,0.0407888,38.0949,1.65373,7915.19
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.656216,0.735857,0.503623,6.7434,37.493,0.851751,0.0383064,37.5306,0.852604,630.415
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.644789,0.755875,0.521193,8.41595,37.8107,0.842219,0.0385756,37.8864,0.843907,679.241
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.663572,0.747491,0.540663,6.60726,37.148,0.821319,0.0378934,37.2225,0.822965,567.273
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.05659,0.794548,0.673309,10.1487,36.1428,0.815566,0.0368844,36.2152,0.817201,653.969
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.83848,0.897465,0.60847,8.17262,34.3489,0.767096,0.0350458,34.4178,0.768633,271.706
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.23372,0.935751,0.514649,7.54758,35.8542,0.823232,0.0366041,35.9261,0.824882,217.756
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.62824,0.879377,0.640556,9.46282,37.2352,0.813073,0.0379721,37.3098,0.814702,489.255
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.014,0.607175,0.899667,0.544609,22.1885,41.1685,0.832871,0.0425893,40.6001,0.821372,462.559
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.03233,0.642996,0.456779,90.7092,68.3257,2.02327,0.0702083,68.4626,2.02733,8491.42
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.403411,0.0613739,0.129927,79.8625,56.8489,2.179,0.0589098,56.9628,2.18336,13257.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.01,2.37232,0.254272,0.389131,88.6134,69.1813,2.76639,0.0726671,68.4963,2.739,15576.9
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.433199,0.0464928,0.114058,78.0316,57.3127,2.22029,0.059414,57.4276,2.22474,13148.7
