[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
2034M 2204k  862M 12.8G| 11   0  89   0   0   0|  21M 7964k
2117M 7036k  117M 13.4G| 18   3  78   1   0   0|  45M    0 
2700M 7216k  136M 12.8G| 25   3  71   1   0   0|  20M    0 
4555M 8256k  137M 11.0G| 15   6  78   0   0   0|2200k   40k
8898M 8264k  149M 6906M| 21  26  53   0   0   0|  12M    0 
12.7G 8320k  172M 2733M| 41  30  29   0   0   0|  41M  180k
13.4G 8320k  173M 2028M| 66   5  29   0   0   0| 216k    0 
15.4G  948k 14.6M  153M| 20  14  31  35   0   0|  59M  175M
15.4G  940k 22.8M  137M|  1   2  33  64   0   0|2576k 5812k
15.4G  964k 25.2M  137M|  1   5  46  48   0   1|6716k   86M
15.4G 1216k 21.3M  136M|  0   4  54  41   0   1|1456k  129M
15.4G 1648k 17.2M  132M|  0   3  44  52   0   1|1988k  130M
15.4G 1656k 20.1M  168M|  5   2  67  24   0   2|4584k  165M
15.3G 1468k  106M  161M|  6   1  87   4   0   1|  68M  131M
15.3G 1948k  123M  149M|  6   1  92   2   0   0|  28M   28M
15.3G 2096k  126M  175M|  8   2  86   4   0   1|  81M   87M
15.3G 2108k 87.1M  233M|  3   1  85  10   0   0|  51M   94M
15.2G 1736k  217M  144M| 65   3  29   2   0   1| 456M   71M
15.3G 1396k  161M  180M| 78   2  17   2   0   1| 132M   40M
15.3G 1832k  192M  146M| 77   1  22   0   0   0|  65M  152k
15.2G 1724k  183M  180M| 86   2  11   0   0   0| 282M   18M
15.2G 1732k  183M  179M| 79   1  20   0   0   0| 140k   96k
15.2G 1868k  229M  153M| 83   2  13   0   0   1| 392M   32M
15.2G 1832k  278M  153M| 89   3   8   0   0   1| 443M   53M
15.1G 2004k  343M  156M| 88   3   8   1   0   1| 418M   68M
15.1G 2008k  348M  147M| 92   2   5   0   0   0| 444M 6760k
15.1G 2020k  329M  164M| 92   0   8   0   0   0|2624k  764k
15.1G 2020k  330M  160M| 91   0   8   0   0   0|4144k    0 
15.1G 2020k  330M  158M| 97   0   3   0   0   0| 236k    0 
15.1G 2020k  330M  157M| 95   0   5   0   0   0|  28k    0 
15.1G 2020k  331M  157M| 93   0   7   0   0   0| 856k    0 
15.1G 2028k  331M  156M| 93   0   7   0   0   0| 196k   36k
15.1G 2028k  331M  156M| 93   0   7   0   0   0|  40k    0 
15.1G 2028k  331M  156M| 93   0   7   0   0   0| 104k    0 
15.1G 2028k  331M  156M| 92   0   8   0   0   0|  40k    0 
15.1G 2028k  331M  156M| 98   0   2   0   0   0|  36k    0 
15.1G 2036k  331M  155M| 94   0   5   0   0   0|  88k   32k
15.1G 2036k  333M  152M| 87   0  12   0   0   0|2404k    0 
15.1G 2036k  333M  152M| 79   0  20   0   0   0|  40k    0 
15.1G 2036k  333M  152M| 89   0  11   0   0   0| 112k    0 
15.1G 2036k  333M  152M|100   0   0   0   0   0|  40k    0 
15.1G 2044k  333M  152M| 93   0   7   0   0   0|  44k   32k
15.1G 2044k  333M  152M|100   0   0   0   0   0|  76k    0 
15.1G 2044k  333M  152M| 99   0   0   0   0   0|  40k    0 
15.1G 2044k  333M  151M| 92   0   8   0   0   0| 784k    0 
15.1G 2044k  333M  150M|100   0   0   0   0   0| 200k    0 
15.1G 2052k  333M  150M|100   0   0   0   0   0|  24k   32k
15.1G 2052k  333M  150M| 93   0   7   0   0   0|  36k    0 
15.1G 2052k  333M  150M|100   0   0   0   0   0| 236k    0 
15.1G 2052k  333M  150M|100   0   0   0   0   0|  36k    0 
15.1G 2052k  333M  150M| 93   0   7   0   0   0|  88k    0 
15.1G 2064k  334M  150M|100   0   0   0   0   0| 268k   32k
15.1G 2076k  320M  162M|100   0   0   0   0   0|  13M  680k
15.1G 1964k  315M  164M| 82   2  15   0   0   1| 366M 5568k
15.1G 2548k  336M  153M| 90   2   7   0   0   0| 463M   12M
15.1G 2524k  333M  168M| 90   2   7   0   0   0| 449M   12M
15.1G 2488k  343M  165M| 88   2   9   0   0   0| 349M 6472k
15.1G 1908k  361M  157M| 82   2  16   0   0   0| 489M 9060k
15.1G 1844k  358M  160M| 99   1   0   0   0   0| 238M 7692k
15.1G 1844k  360M  158M| 91   0   9   0   0   0|4860k    0 
15.1G 1844k  360M  158M|100   0   0   0   0   0|  84k    0 
15.1G 1852k  361M  163M| 92   0   8   0   0   0| 708k   56k
15.1G 1852k  361M  163M|100   0   0   0   0   0|  16k    0 
15.1G 1852k  361M  162M| 88   0  11   0   0   0| 268k    0 
15.1G 1852k  361M  162M| 79   1  20   0   0   0| 108k    0 
15.1G 1852k  361M  161M| 95   0   5   0   0   0| 416k    0 
15.1G 1860k  361M  161M|100   0   0   0   0   0| 456k   36k
15.1G 1860k  362M  160M| 92   0   8   0   0   0| 644k    0 
15.1G 1864k  362M  155M|100   0   0   0   0   0|5280k    0 
15.1G 1864k  362M  155M| 92   0   8   0   0   0| 200k    0 
15.1G 1864k  362M  155M|100   0   0   0   0   0| 168k    0 
15.1G 1872k  362M  155M| 92   0   8   0   0   0| 104k   36k
15.1G 1872k  362M  154M|100   0   0   0   0   0| 472k    0 
15.1G 1872k  362M  154M| 92   0   7   0   0   0|  52k    0 
15.1G 1872k  362M  154M| 99   0   1   0   0   0|  76k    0 
15.1G 1872k  362M  154M| 94   0   6   0   0   0| 120k    0 
15.1G 1880k  362M  154M| 93   0   7   0   0   0|  36k   32k
15.1G 1880k  362M  152M|100   0   0   0   0   0|2032k    0 
15.1G 1880k  362M  151M| 92   1   7   0   0   0| 240k    0 
15.1G 1880k  362M  151M| 93   0   7   0   0   0|  36k    0 
15.1G 1880k  362M  151M| 92   0   8   0   0   0| 344k    0 
15.1G 1888k  344M  170M| 95   0   4   0   0   0|4184k 1976k
15.1G 1888k  364M  151M| 97   0   3   0   0   0|  40M    0 
15.1G 1888k  353M  165M| 92   1   7   0   0   0|  59M 2872k
15.1G 1888k  361M  158M| 92   0   8   0   0   0|  57M  916k
15.1G 1888k  366M  156M| 91   0   8   0   0   0|  85M 1256k
15.1G 1852k  376M  155M| 90   2   7   0   0   0| 375M 6336k
15.1G 1724k  384M  154M| 90   3   7   0   0   0| 427M   11M
15.1G 1720k  382M  161M| 89   3   9   0   0   0| 390M 7308k
15.0G 1676k  385M  165M| 84   2  13   0   0   0| 364M 4948k
15.0G 1636k  396M  160M| 90   2   7   0   0   1| 391M 7804k
15.0G 1628k  404M  154M| 99   0   0   0   0   0| 101M 5624k
15.0G 1628k  404M  154M| 93   0   7   0   0   0|  36k    0 
15.0G 1620k  384M  170M| 97   0   3   0   0   0|1188k 2892k
15.0G 1620k  384M  170M| 95   0   5   0   0   0| 696k    0 
15.0G 1620k  385M  168M| 92   0   8   0   0   0|1160k    0 
15.0G 1628k  385M  168M|100   0   0   0   0   0| 232k   40k
15.0G 1628k  385M  168M| 93   0   7   0   0   0|  20k    0 
15.1G 1628k  389M  156M|100   0   0   0   0   0|  12M    0 
15.1G 1628k  390M  155M| 93   0   7   0   0   0| 772k    0 
15.1G 1628k  390M  155M|100   0   0   0   0   0|  24k    0 
15.1G 1640k  390M  155M| 93   0   7   0   0   0|  44k   32k
15.1G 1640k  391M  152M|100   0   0   0   0   0|3264k    0 
15.1G 1632k  369M  171M| 92   0   8   0   0   0| 156k 3004k
15.1G 1632k  369M  171M| 92   0   8   0   0   0| 320k    0 
15.1G 1632k  381M  160M|100   0   0   0   0   0|  22M    0 
15.1G 1632k  379M  170M| 92   1   7   0   0   0|  42M 3264k
15.0G 1624k  384M  167M| 92   0   8   0   0   0|  57M 3836k
15.0G 1616k  393M  164M| 97   0   3   0   0   0|  63M 5340k
15.0G 1592k  401M  158M| 95   0   5   0   0   0|  63M 2748k
15.0G 1496k  393M  169M| 93   0   7   0   0   0|  29M 2632k
15.0G 1504k  401M  160M| 93   0   7   0   0   0|  16M   40k
15.0G 1508k  405M  157M| 93   0   7   0   0   0|4788k    0 
15.0G 1420k  402M  160M|100   0   0   0   0   0|  17M  280k
15.0G 1420k  405M  155M| 93   0   7   0   0   0|9424k    0 
15.0G 1320k  407M  154M| 93   0   7   0   0   0|  40M   48k
15.0G 1252k  405M  162M| 92   1   7   0   0   0| 194M 3488k
15.0G 1184k  399M  167M| 91   2   7   0   0   0| 400M 2020k
15.0G 1184k  398M  162M| 87   2  11   0   0   0| 326M 1556k
15.0G 1184k  408M  151M| 87   1  12   0   0   0| 225M 1532k
15.0G 1184k  393M  170M| 99   1   0   0   0   0| 162M 1620k
15.0G 1192k  400M  162M| 92   0   8   0   0   0|  58M  516k
15.0G 1192k  400M  160M| 91   0   9   0   0   0|1596k    0 
15.0G 1192k  400M  160M|100   0   0   0   0   0|  32k    0 
15.0G 1192k  412M  147M| 92   0   8   0   0   0|  26M    0 
15.0G 1176k  405M  156M| 92   0   7   0   0   0|  29M  100k
15.0G 1144k  399M  161M| 93   0   6   0   0   0|  35M  412k
15.0G 1104k  386M  168M| 96   1   3   0   0   0|  66M  844k
15.1G 1104k  389M  157M| 78   0  21   0   0   0|7740k    0 
15.1G 1104k  376M  165M| 78   1  21   0   0   0|  17M  112k
15.1G 1100k  381M  154M| 88   0  10   0   0   1|  54M  356k
15.1G 1080k  375M  163M| 80   1  19   0   0   1|  30M 3984k
15.1G 1080k  380M  158M| 80   0  20   0   0   0|  11M    0 
15.1G 1080k  382M  156M| 77   0  23   0   0   0|4124k    0 
15.1G 1076k  373M  173M| 80   0  19   0   0   1|  20M   10M
15.1G 1076k  373M  172M| 63   0  37   0   0   0| 460k    0 
15.1G 1084k  373M  172M| 49   0  51   0   0   0| 168k   48k
15.1G 1084k  373M  161M| 50   0  49   0   0   0|  11M    0 
15.1G 1084k  373M  156M| 50   0  50   0   0   0|4208k    0 
15.1G 1084k  373M  156M| 49   0  50   0   0   0|  76k    0 
15.1G 1084k  376M  156M| 50   0  50   0   0   0|  17M 4348k
15.1G 1092k  388M  152M| 49   1  50   0   0   1|  54M 5576k
15.0G 1088k  407M  160M| 49   1  49   0   0   0| 177M   31M
15.0G 1088k  429M  171M| 52   2  46   0   0   1| 211M   39M
15.0G 1584k  469M  153M| 49   1  50   0   0   1| 185M   23M
14.9G 1584k  488M  164M| 49   1  49   0   0   1| 158M   29M
14.9G 1596k  501M  155M| 50   0  49   0   0   1|  56M 5900k
14.9G 1596k  502M  155M| 49   0  51   0   0   0|1292k    0 
14.9G 1720k  500M  161M| 47   0  53   0   0   0|  25M 6080k
14.9G 1720k  500M  161M| 44   0  56   0   0   0|  16k    0 
14.9G 1720k  500M  161M| 44   0  56   0   0   0| 628k    0 
14.9G 1728k  501M  169M| 45   0  55   0   0   0|  16k   40k
14.9G 1728k  501M  169M| 40   0  60   0   0   0| 184k    0 
14.9G 1728k  501M  169M| 38   0  62   0   0   0|  32k    0 
14.9G 1728k  501M  169M| 39   0  61   0   0   0| 176k    0 
14.9G 1728k  501M  169M| 38   0  62   0   0   0|  24k    0 
14.9G 1728k  501M  169M| 38   0  62   0   0   0|  40k    0 
14.9G 1736k  501M  169M| 38   0  62   0   0   0|  28k   40k
14.9G 1736k  501M  167M| 40   0  60   0   0   0|  24k    0 
14.9G 1736k  507M  166M| 37   0  62   0   0   1|  42M 5728k
14.9G 1736k  519M  165M| 39   0  60   0   0   0|  87M   11M
14.9G 1648k  528M  164M| 32   0  67   0   0   0|  50M 6436k
14.9G 1660k  528M  164M| 32   0  67   0   0   0|  44k  244k
14.9G 1660k  528M  163M| 31   0  68   0   0   0|  24k    0 
14.9G 1660k  528M  163M| 27   0  73   0   0   0| 448k    0 
14.9G 1660k  528M  163M| 18   0  82   0   0   0|  96k    0 
14.9G 1660k  528M  159M| 15   0  83   0   0   0|6764k    0 
14.9G 2472k  518M  155M|  4   2  91   3   0   0|  21M 4980k
14.8G 3288k 37.7M  771M|  1   1  97   1   0   0|  23M 1308k
14.9G 5012k 72.0M  667M|  8   1  90   1   0   0|  35M    0 
14.9G 5596k 83.1M  591M| 11   1  88   1   0   0|  14M 8192B
14.9G 6460k 95.9M  628M| 11   1  87   1   0   0|  15M   32k
15.0G 6464k  119M  515M| 13   1  86   1   0   0|  24M    0 
15.0G 6672k  233M  331M| 17   1  81   1   0   0|  96M 1344k
15.0G 6944k  376M  185M|  7   1  89   3   0   0|  69M   81M
15.1G 7132k  372M  154M| 51   4  40   4   0   1| 585M  121M
15.1G 7132k  372M  169M| 79   0  20   0   0   0|  16k    0 
15.1G 2500k  361M  185M| 70   7  22   1   0   1| 437M  530M
15.0G 1504k  429M  150M| 76  11  10   1   0   1| 843M  815M
14.9G 2048k  479M  181M| 42   8  21  28   0   1| 395M  392M
14.8G 2032k  621M  141M| 60  11  17  10   0   2| 599M  812M
14.8G 2036k  709M  132M| 40   8  23  29   0   1| 356M  517M
14.7G 2048k  746M  149M| 51   5  26  17   0   1| 306M  274M
14.7G 1764k  757M  160M| 61   9  21   7   0   1| 583M  685M
14.7G 1844k  773M  147M| 71  10  16   2   0   1| 847M  648M
14.6G 1364k  776M  201M| 69  11  17   2   0   2| 755M  710M
14.5G 1376k  900M  161M| 61   9  14  14   0   2| 577M  788M
14.5G 1152k 1012M  132M| 69  11  16   2   0   2| 692M  705M
14.4G 1300k 1084M  142M| 47   9  22  21   0   2| 527M  569M
14.3G 1468k 1149M  190M| 63  12  11  12   0   2| 651M  735M
14.2G 1488k 1281M  131M| 55   9  16  18   0   2| 474M  613M
14.1G 1512k 1319M  172M| 55   9  16  18   0   2| 594M  561M
14.0G 1552k 1420M  162M| 61  11  13  12   0   2| 606M  911M
14.0G 1556k 1453M  194M| 42   7  32  17   0   2| 377M  376M
13.8G 1712k 1477M  379M|  7   1  88   4   0   0|  34M  311M
13.8G 4684k 39.7M 1836M|  1   2  95   2   0   0|  32M   72M
13.8G 5516k 61.3M 1721M| 11   1  87   1   0   0|  22M    0 
13.8G 5796k 76.5M 1789M|  8   1  90   1   0   0|  24M   40k
13.9G 5988k 93.2M 1672M| 13   1  85   0   0   0|  17M    0 
13.9G 6416k  105M 1565M| 15   1  83   1   0   0|  13M    0 
14.0G 6604k  241M 1396M| 14   1  84   1   0   1|  96M   22M
14.0G 6616k  352M 1283M|  5   1  89   5   0   0|  51M   96M
14.0G 6788k  511M 1137M| 52   1  44   3   0   0| 321M  176k
14.0G 6788k  513M 1108M| 73   1  24   1   0   1|  29M    0 
14.0G 6788k  512M 1074M| 73   1  21   5   0   0|  34M    0 
14.1G 6796k  513M 1045M| 73   1  21   5   0   0|  30M  112k
14.1G 6796k  512M 1010M| 72   1  20   5   0   1|  34M    0 
