"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_flink_16_2133_2_0_16.csv",,,,"Date:","13 Mar 2018 22:08:08 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
2132586496.0,2256896.0,904310784.0,13697613824.0,10.523,0.367,88.781,0.270,0.0,0.058,22014513.476,8155045.176
2219761664.0,7204864.0,122228736.0,14387572736.0,17.764,2.671,78.075,1.180,0.0,0.311,47620096.0,0.0
2831306752.0,7389184.0,142745600.0,13755326464.0,25.079,3.017,71.150,0.566,0.0,0.189,20856832.0,0.0
4776468480.0,8454144.0,143736832.0,11808108544.0,15.385,6.254,78.049,0.125,0.0,0.188,2252800.0,40960.0
9330745344.0,8462336.0,155840512.0,7241719808.0,20.636,25.935,53.117,0.187,0.0,0.125,12099584.0,0.0
13681418240.0,8519680.0,180592640.0,2866237440.0,40.664,30.326,28.509,0.313,0.0,0.188,42840064.0,184320.0
14421037056.0,8519680.0,180989952.0,2126221312.0,66.083,5.194,28.661,0.0,0.0,0.063,221184.0,0.0
16559747072.0,970752.0,15319040.0,160731136.0,20.452,13.586,30.663,34.947,0.0,0.352,61407232.0,183619584.0
16567881728.0,962560.0,23883776.0,144039936.0,0.518,2.073,33.161,64.249,0.0,0.0,2637824.0,5951488.0
16565346304.0,987136.0,26423296.0,144011264.0,0.586,4.519,45.941,47.950,0.0,1.004,6877184.0,90243072.0
16570736640.0,1245184.0,22294528.0,142491648.0,0.253,3.666,54.425,40.708,0.0,0.948,1490944.0,134897664.0
16578707456.0,1687552.0,18055168.0,138317824.0,0.253,2.652,44.318,51.578,0.0,1.199,2035712.0,136278016.0
16538255360.0,1695744.0,21049344.0,175767552.0,4.783,2.391,66.834,23.977,0.0,2.014,4694016.0,172924928.0
16455942144.0,1503232.0,110895104.0,168427520.0,5.934,1.499,87.445,3.998,0.0,1.124,71630848.0,137752576.0
16449286144.0,1994752.0,128806912.0,156680192.0,5.882,0.563,91.552,1.752,0.0,0.250,28913664.0,29429760.0
16419733504.0,2146304.0,131670016.0,183218176.0,7.663,1.696,85.867,4.020,0.0,0.754,84750336.0,91262976.0
16399314944.0,2158592.0,91348992.0,243945472.0,3.333,1.384,85.346,9.686,0.0,0.252,53870592.0,98832384.0
16356102144.0,1777664.0,227405824.0,151482368.0,64.853,3.315,28.580,2.189,0.0,1.063,478556160.0,74842112.0
16378531840.0,1429504.0,168513536.0,188293120.0,77.952,2.324,16.834,2.073,0.0,0.817,138190848.0,41680896.0
16380575744.0,1875968.0,201318400.0,152997888.0,77.375,0.688,21.562,0.188,0.0,0.188,67960832.0,155648.0
16354574336.0,1765376.0,192090112.0,188338176.0,86.412,1.628,11.459,0.063,0.0,0.438,295636992.0,19267584.0
16354705408.0,1773568.0,192077824.0,188211200.0,79.0,0.562,20.438,0.0,0.0,0.0,143360.0,98304.0
16334225408.0,1912832.0,240340992.0,160288768.0,83.490,2.439,13.133,0.250,0.0,0.688,411496448.0,33779712.0
16282808320.0,1875968.0,291708928.0,160374784.0,88.632,2.686,7.808,0.062,0.0,0.812,464363520.0,55234560.0
16210862080.0,2052096.0,360009728.0,163844096.0,88.103,2.880,7.514,0.501,0.0,1.002,437809152.0,71639040.0
16215212032.0,2056192.0,365006848.0,154492928.0,91.907,2.133,5.144,0.439,0.0,0.376,465211392.0,6922240.0
16217608192.0,2068480.0,344899584.0,172191744.0,92.067,0.187,7.683,0.0,0.0,0.062,2686976.0,782336.0
16220528640.0,2068480.0,346423296.0,167747584.0,91.416,0.125,8.459,0.0,0.0,0.0,4243456.0,0.0
16222502912.0,2068480.0,346386432.0,165810176.0,96.509,0.062,3.304,0.062,0.0,0.062,241664.0,0.0
16223055872.0,2068480.0,346501120.0,165142528.0,94.743,0.0,5.257,0.0,0.0,0.0,28672.0,0.0
16223297536.0,2068480.0,347148288.0,164253696.0,92.553,0.125,7.322,0.0,0.0,0.0,876544.0,0.0
16223539200.0,2076672.0,347152384.0,163999744.0,92.942,0.187,6.871,0.0,0.0,0.0,200704.0,36864.0
16223662080.0,2076672.0,347283456.0,163745792.0,93.013,0.062,6.925,0.0,0.0,0.0,40960.0,0.0
