"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_hadoop_16_2133_2_0_16.csv",,,,"Date:","13 Mar 2018 23:15:58 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1211482112.0,5140480.0,39399424.0,15480745984.0,12.388,0.419,86.807,0.316,0.0,0.070,27174297.898,9162051.960
1103806464.0,6868992.0,72720384.0,15553372160.0,63.761,2.242,24.844,8.157,0.0,0.996,69230592.0,0.0
760098816.0,7573504.0,104235008.0,15864860672.0,21.322,1.372,75.623,1.372,0.0,0.312,36622336.0,0.0
712425472.0,8294400.0,107728896.0,15908319232.0,10.848,1.060,87.781,0.125,0.0,0.187,3973120.0,40960.0
778477568.0,8740864.0,111194112.0,15838355456.0,13.450,0.560,85.367,0.436,0.0,0.187,5251072.0,0.0
798969856.0,9056256.0,114671616.0,15814070272.0,7.223,0.623,89.726,2.117,0.0,0.311,13434880.0,438272.0
860377088.0,9056256.0,115609600.0,15751725056.0,6.301,0.624,89.083,3.493,0.0,0.499,22253568.0,8192.0
898879488.0,9748480.0,121032704.0,15707107328.0,0.125,1.001,93.617,4.756,0.0,0.501,44220416.0,0.0
931995648.0,9768960.0,121679872.0,15673323520.0,0.439,0.627,94.981,3.639,0.0,0.314,37502976.0,139264.0
1011486720.0,10092544.0,122691584.0,15592497152.0,6.152,1.255,90.647,1.758,0.0,0.188,14073856.0,0.0
1093824512.0,10104832.0,123355136.0,15509483520.0,15.081,0.688,83.917,0.063,0.0,0.250,1462272.0,249856.0
1171595264.0,10104832.0,127795200.0,15427272704.0,13.892,1.126,83.417,0.939,0.0,0.626,16822272.0,0.0
1254428672.0,10108928.0,131547136.0,15340683264.0,29.565,0.683,69.130,0.373,0.0,0.248,5033984.0,16384.0
1276633088.0,10108928.0,131911680.0,15318114304.0,15.997,0.188,83.626,0.188,0.0,0.0,1294336.0,24576.0
1294528512.0,10117120.0,132038656.0,15300083712.0,2.741,0.498,94.455,2.056,0.0,0.249,11304960.0,90112.0
1553039360.0,10346496.0,133033984.0,15040348160.0,24.840,3.193,69.285,1.916,0.0,0.766,55787520.0,0.0
