[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
1509M 1516k  297M 13.8G|  0   0 100   0   0   0|  45k 2233B
1634M 7252k  226M 13.8G| 37   3  57   2   0   1|  34M    0 
2138M 7404k  245M 13.3G| 44   4  50   1   0   0|  19M 8192B
4101M 7552k  253M 11.3G| 34  12  54   0   0   1|8576k   32k
8484M 7552k  257M 7215M| 30  32  38   0   0   0|3744k    0 
12.2G 7732k  265M 3169M| 52  31  17   0   0   0|  11M    0 
13.0G 8032k  278M 2404M| 90   9   1   0   0   0|  25M  132k
13.0G 8172k  477M 2135M| 30   2  67   0   0   0| 102M    0 
13.0G 8188k  525M 2086M| 22   2  76   0   0   0|9736k  128k
13.1G 8188k  623M 1916M| 29   3  69   0   0   0|   0     0 
15.4G  812k 22.2M  162M| 19  21  14  45   0   1|  15M  563M
15.4G  812k 31.0M  155M| 14   4  34  48   0   0|8848k   14M
15.3G  892k  146M  156M| 81   3  13   3   0   1| 296M   72M
15.3G  640k  134M  147M| 94   3   3   0   0   0| 189M   59M
15.3G  640k  121M  164M| 97   1   2   0   0   0| 920k   14M
15.3G  620k  154M  163M| 92   2   6   0   0   0| 156M   30M
15.3G  628k  186M  159M| 96   2   2   0   0   0| 190M   32M
15.2G  632k  205M  154M| 92   2   6   0   0   0| 144M   29M
15.2G  628k  232M  165M| 91   2   6   0   0   1| 225M   34M
15.2G  628k  267M  167M| 98   2   0   0   0   0| 258M   40M
15.1G  628k  291M  160M| 92   1   6   0   0   0| 129M   13M
15.1G  636k  329M  157M| 98   2   0   0   0   0| 264M   33M
15.1G  636k  341M  163M| 93   1   5   0   0   0| 200M   21M
15.1G  812k  358M  167M| 90   2   8   1   0   0| 227M   25M
15.1G  812k  385M  161M| 98   2   0   0   0   0| 228M   26M
15.1G  812k  385M  161M|100   0   0   0   0   0| 268k    0 
15.1G 1368k  367M  150M| 98   1   0   0   0   0|  32M 8944k
15.1G 1772k  330M  165M| 92   1   5   2   0   0|  36M   13M
15.1G 2440k  314M  153M| 99   1   0   0   0   0|  25M 7020k
15.1G 2580k  283M  168M| 93   1   4   1   0   0|  22M   15M
