"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_flink_16_2133_2_0_8.csv",,,,"Date:","09 Jun 2018 17:05:28 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1582551040.0,1552384.0,310919168.0,14843224064.0,0.056,0.030,99.901,0.010,0.0,0.001,46460.840,2232.522
1713647616.0,7426048.0,237133824.0,14780039168.0,36.815,3.312,57.325,2.038,0.0,0.510,36106240.0,0.0
2241998848.0,7581696.0,257060864.0,14231605248.0,44.431,3.960,50.371,0.990,0.0,0.248,20041728.0,8192.0
4300656640.0,7733248.0,265719808.0,12164136960.0,33.624,11.706,54.047,0.0,0.0,0.623,8781824.0,32768.0
8896184320.0,7733248.0,269320192.0,7565008896.0,30.326,31.955,37.719,0.0,0.0,0.0,3833856.0,0.0
13129797632.0,7917568.0,278065152.0,3322466304.0,52.375,30.750,16.625,0.125,0.0,0.125,11198464.0,0.0
13918212096.0,8224768.0,291528704.0,2520281088.0,90.012,8.614,1.373,0.0,0.0,0.0,25980928.0,135168.0
13991387136.0,8368128.0,499908608.0,2238582784.0,30.250,2.375,66.875,0.250,0.0,0.250,106459136.0,0.0
13992517632.0,8384512.0,550244352.0,2187100160.0,22.375,1.500,75.750,0.250,0.0,0.125,9969664.0,131072.0
14066712576.0,8384512.0,653717504.0,2009432064.0,28.571,2.632,68.546,0.0,0.0,0.251,0.0,0.0
16544624640.0,831488.0,23269376.0,169521152.0,18.531,21.391,13.914,45.254,0.0,0.910,15409152.0,590761984.0
16542953472.0,831488.0,32456704.0,162004992.0,13.699,4.110,34.247,47.945,0.0,0.0,9060352.0,14712832.0
16420675584.0,913408.0,152719360.0,163938304.0,80.528,3.015,12.814,3.141,0.0,0.503,310083584.0,74977280.0
16442933248.0,655360.0,140111872.0,154546176.0,93.750,3.250,2.750,0.0,0.0,0.250,197996544.0,61693952.0
16438493184.0,655360.0,126672896.0,172425216.0,97.375,0.625,2.0,0.0,0.0,0.0,942080.0,14307328.0
16405282816.0,634880.0,161091584.0,171237376.0,92.020,1.621,5.985,0.125,0.0,0.249,164040704.0,31555584.0
16375390208.0,643072.0,195084288.0,167129088.0,96.380,1.748,1.748,0.0,0.0,0.125,198778880.0,33538048.0
16361091072.0,647168.0,215408640.0,161099776.0,91.740,2.128,6.008,0.0,0.0,0.125,151216128.0,30560256.0
16321503232.0,643072.0,243523584.0,172576768.0,91.217,1.882,6.399,0.0,0.0,0.502,236363776.0,35311616.0
16282648576.0,643072.0,279826432.0,175128576.0,97.753,1.873,0.125,0.0,0.0,0.250,270704640.0,41443328.0
16265183232.0,643072.0,304865280.0,167555072.0,92.481,1.253,6.266,0.0,0.0,0.0,135290880.0,13418496.0
16227917824.0,651264.0,345292800.0,164384768.0,97.500,2.125,0.0,0.0,0.0,0.375,277286912.0,34758656.0
16208261120.0,651264.0,357986304.0,171347968.0,92.884,1.498,5.368,0.125,0.0,0.125,209534976.0,22376448.0
16187318272.0,831488.0,375177216.0,174919680.0,89.850,1.504,7.769,0.501,0.0,0.376,237854720.0,26673152.0
16164593664.0,831488.0,403783680.0,169037824.0,98.371,1.504,0.125,0.0,0.0,0.0,238895104.0,26972160.0
16164655104.0,831488.0,403976192.0,168783872.0,100.0,0.0,0.0,0.0,0.0,0.0,274432.0,0.0
16195444736.0,1400832.0,384401408.0,156999680.0,97.753,1.373,0.125,0.250,0.0,0.499,33955840.0,9158656.0
16217481216.0,1814528.0,346177536.0,172773376.0,91.750,1.0,5.250,1.625,0.0,0.375,37564416.0,14024704.0
16245981184.0,2498560.0,329326592.0,160440320.0,98.627,0.999,0.125,0.0,0.0,0.250,26484736.0,7188480.0
16262561792.0,2641920.0,297025536.0,176017408.0,93.134,1.248,4.494,0.874,0.0,0.250,23248896.0,15917056.0
16292667392.0,2641920.0,281448448.0,161488896.0,98.500,1.125,0.125,0.0,0.0,0.250,25931776.0,8388608.0
16296767488.0,2842624.0,269467648.0,169168896.0,99.123,0.627,0.0,0.0,0.0,0.251,15933440.0,8667136.0
16318976000.0,2846720.0,260517888.0,155906048.0,93.585,1.006,4.906,0.252,0.0,0.252,49500160.0,12197888.0
16324333568.0,2977792.0,236007424.0,174927872.0,99.247,0.376,0.251,0.0,0.0,0.125,7626752.0,692224.0
16338681856.0,3850240.0,237010944.0,158703616.0,99.501,0.250,0.125,0.0,0.0,0.125,9601024.0,856064.0
16351227904.0,3842048.0,214839296.0,168337408.0,94.994,0.375,4.506,0.0,0.0,0.125,6643712.0,7626752.0
16342675456.0,3842048.0,214831104.0,176898048.0,99.750,0.125,0.125,0.0,0.0,0.0,241664.0,0.0
16342720512.0,3842048.0,214839296.0,176844800.0,99.875,0.0,0.125,0.0,0.0,0.0,225280.0,0.0
16343347200.0,3842048.0,214847488.0,176209920.0,94.250,0.125,5.625,0.0,0.0,0.0,589824.0,0.0
16343973888.0,3850240.0,214847488.0,175575040.0,99.124,0.250,0.626,0.0,0.0,0.0,663552.0,36864.0
16344182784.0,3858432.0,214851584.0,175353856.0,99.750,0.250,0.0,0.0,0.0,0.0,221184.0,131072.0
16344399872.0,3858432.0,214761472.0,175226880.0,93.883,0.125,5.993,0.0,0.0,0.0,233472.0,0.0
16344752128.0,3858432.0,214790144.0,174845952.0,100.0,0.0,0.0,0.0,0.0,0.0,286720.0,0.0
16345075712.0,3858432.0,214847488.0,174465024.0,94.0,0.125,5.875,0.0,0.0,0.0,143360.0,0.0
16345120768.0,3866624.0,214794240.0,174465024.0,99.875,0.0,0.125,0.0,0.0,0.0,184320.0,12288.0
16345419776.0,3866624.0,214749184.0,174211072.0,100.0,0.0,0.0,0.0,0.0,0.0,270336.0,0.0
16345694208.0,3866624.0,214863872.0,173821952.0,94.486,0.125,5.388,0.0,0.0,0.0,184320.0,0.0
16347275264.0,3866624.0,214839296.0,172265472.0,99.625,0.125,0.250,0.0,0.0,0.0,1585152.0,0.0
16347504640.0,3866624.0,214863872.0,172011520.0,98.377,0.125,1.498,0.0,0.0,0.0,196608.0,0.0
16347607040.0,3874816.0,214753280.0,172011520.0,95.995,0.0,4.005,0.0,0.0,0.0,262144.0,16384.0
16349331456.0,3874816.0,215187456.0,169852928.0,99.875,0.125,0.0,0.0,0.0,0.0,1646592.0,0.0
16350318592.0,4603904.0,222187520.0,161136640.0,94.132,0.250,5.618,0.0,0.0,0.0,8359936.0,0.0
