"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_hadoop_16_2133_2_0_8.csv",,,,"Date:","09 Jun 2018 18:46:10 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1172221952.0,5083136.0,41365504.0,15519576064.0,25.516,0.613,73.545,0.181,0.0,0.145,37321339.406,8904439.060
527990784.0,7090176.0,77479936.0,16125685760.0,14.411,2.632,81.454,0.877,0.0,0.627,38334464.0,0.0
593809408.0,7942144.0,89026560.0,16047468544.0,21.258,0.881,77.358,0.377,0.0,0.126,12259328.0,0.0
570773504.0,8294400.0,90316800.0,16068861952.0,22.613,1.382,75.503,0.0,0.0,0.503,1040384.0,32768.0
621662208.0,8294400.0,93495296.0,16014794752.0,19.900,1.368,74.876,3.234,0.0,0.622,14389248.0,0.0
657063936.0,8794112.0,94924800.0,15977463808.0,7.721,1.494,82.814,7.223,0.0,0.747,31633408.0,278528.0
668610560.0,8806400.0,97542144.0,15963287552.0,4.642,0.627,92.974,1.255,0.0,0.502,10862592.0,106496.0
755011584.0,8806400.0,99348480.0,15875080192.0,13.823,2.117,78.580,4.608,0.0,0.872,38260736.0,8192.0
796143616.0,8806400.0,99864576.0,15833432064.0,4.146,1.005,92.714,1.884,0.0,0.251,19136512.0,0.0
854970368.0,9240576.0,104488960.0,15769546752.0,5.682,1.263,89.141,3.409,0.0,0.505,46874624.0,0.0
914092032.0,9252864.0,104812544.0,15710089216.0,4.654,1.509,90.943,2.516,0.0,0.377,56532992.0,28672.0
996667392.0,9605120.0,105828352.0,15626145792.0,9.045,2.513,84.296,3.015,0.0,1.131,72417280.0,139264.0
1030860800.0,9613312.0,105689088.0,15592083456.0,3.396,1.384,93.711,0.881,0.0,0.629,32518144.0,0.0
1084669952.0,9617408.0,105889792.0,15538069504.0,8.872,1.141,88.847,0.634,0.0,0.507,39264256.0,0.0
1159450624.0,9797632.0,106569728.0,15462428672.0,18.239,2.264,78.365,0.755,0.0,0.377,14807040.0,0.0
1255206912.0,9797632.0,107208704.0,15366033408.0,33.085,1.990,63.557,0.871,0.0,0.498,11186176.0,0.0
1325543424.0,9809920.0,111357952.0,15291535360.0,30.175,1.247,67.456,0.748,0.0,0.374,6963200.0,212992.0
1404850176.0,9814016.0,114909184.0,15208673280.0,39.750,1.0,58.625,0.125,0.0,0.500,3878912.0,0.0
1437544448.0,9814016.0,115367936.0,15175520256.0,18.159,0.995,79.229,0.995,0.0,0.622,5492736.0,40960.0
1436143616.0,9814016.0,115339264.0,15176949760.0,1.739,0.745,96.522,0.870,0.0,0.124,2846720.0,0.0
1662730240.0,9924608.0,117415936.0,14948175872.0,48.237,4.030,46.725,0.504,0.0,0.504,4067328.0,90112.0
2028855296.0,9969664.0,117608448.0,14581813248.0,93.970,3.518,2.513,0.0,0.0,0.0,417792.0,3284992.0
2228224000.0,9973760.0,117719040.0,14382329856.0,93.875,4.125,1.750,0.250,0.0,0.0,16052224.0,0.0
