"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_spark_16_2133_2_0_8.csv",,,,"Date:","09 Jun 2018 17:47:08 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
1231491072.0,3956736.0,70193152.0,15432605696.0,16.619,0.293,82.973,0.089,0.0,0.027,17710262.144,5501019.071
1308114944.0,7081984.0,85098496.0,15337951232.0,17.603,2.372,77.778,1.873,0.0,0.375,18636800.0,0.0
1367654400.0,8077312.0,96043008.0,15266471936.0,17.610,1.258,79.245,1.761,0.0,0.126,14962688.0,8192.0
1326579712.0,8744960.0,103919616.0,15299002368.0,16.209,2.120,80.175,0.873,0.0,0.623,8343552.0,65536.0
1442959360.0,8916992.0,114884608.0,15171485696.0,25.714,1.242,71.801,1.118,0.0,0.124,11161600.0,0.0
1727102976.0,9523200.0,125259776.0,14876360704.0,43.789,3.011,52.321,0.878,0.0,0.0,11087872.0,262144.0
2024955904.0,10014720.0,134848512.0,14568427520.0,69.299,2.675,27.006,0.892,0.0,0.127,11403264.0,0.0
2605903872.0,10027008.0,136019968.0,13986295808.0,61.307,4.774,32.789,0.628,0.0,0.503,10489856.0,16384.0
3508756480.0,10072064.0,137588736.0,13081829376.0,69.250,6.875,23.500,0.125,0.0,0.250,724992.0,540672.0
4619575296.0,10088448.0,240762880.0,11867820032.0,78.967,6.423,14.232,0.252,0.0,0.126,206598144.0,0.0
6297833472.0,10088448.0,387174400.0,10043150336.0,68.187,10.234,20.099,0.247,0.0,1.233,293105664.0,0.0
6303457280.0,10096640.0,556175360.0,9868517376.0,77.792,1.757,19.197,0.753,0.0,0.502,341716992.0,204800.0
6318346240.0,10096640.0,728489984.0,9681313792.0,75.970,1.752,21.277,0.375,0.0,0.626,344240128.0,0.0
6808702976.0,10096640.0,894025728.0,9025421312.0,74.282,3.870,21.223,0.250,0.0,0.375,331485184.0,0.0
6837915648.0,10141696.0,1007865856.0,8882323456.0,88.030,2.494,8.728,0.249,0.0,0.499,226398208.0,0.0
6860894208.0,10141696.0,1177583616.0,8689627136.0,79.006,2.112,17.391,0.248,0.0,1.242,338411520.0,0.0
6874693632.0,10170368.0,1348993024.0,8504389632.0,75.341,1.859,21.314,0.248,0.0,1.239,343203840.0,2658304.0
6901932032.0,10170368.0,1521659904.0,8304484352.0,75.188,2.506,21.679,0.251,0.0,0.376,344981504.0,0.0
6924451840.0,10170368.0,1691070464.0,8112553984.0,74.906,1.748,22.097,0.250,0.0,0.999,339238912.0,0.0
6958198784.0,10219520.0,1839562752.0,7930265600.0,83.250,2.375,13.0,0.250,0.0,1.125,296013824.0,0.0
6975942656.0,10219520.0,2009104384.0,7742980096.0,75.346,2.013,22.264,0.252,0.0,0.126,338477056.0,0.0
7000481792.0,10227712.0,2178506752.0,7549030400.0,75.187,1.746,22.569,0.249,0.0,0.249,338976768.0,217088.0
7033704448.0,10227712.0,2345680896.0,7348633600.0,74.844,2.242,22.042,0.249,0.0,0.623,334405632.0,0.0
7049060352.0,10227712.0,2501791744.0,7177166848.0,75.832,2.219,20.469,0.247,0.0,1.233,312958976.0,0.0
7061229568.0,10264576.0,2669150208.0,6997602304.0,77.500,2.375,19.250,0.375,0.0,0.500,333029376.0,0.0
7076704256.0,10264576.0,2841456640.0,6809821184.0,76.131,1.759,21.482,0.251,0.0,0.377,344211456.0,0.0
7088283648.0,10264576.0,3013251072.0,6626447360.0,74.688,2.120,22.569,0.249,0.0,0.374,344506368.0,0.0
7096078336.0,10272768.0,3181486080.0,6450409472.0,75.441,1.385,22.418,0.504,0.0,0.252,336347136.0,118784.0
7103463424.0,10289152.0,3334959104.0,6289534976.0,76.971,1.877,20.526,0.250,0.0,0.375,305872896.0,0.0
7116038144.0,10305536.0,3505582080.0,6106320896.0,76.683,2.494,19.950,0.374,0.0,0.499,340680704.0,0.0
7117463552.0,10305536.0,3676196864.0,5934280704.0,74.657,2.247,22.472,0.250,0.0,0.375,341598208.0,0.0
7125057536.0,10309632.0,3847258112.0,5755621376.0,75.0,2.125,22.250,0.375,0.0,0.250,341602304.0,2674688.0
7126065152.0,10317824.0,4017741824.0,5584121856.0,74.037,2.360,22.236,0.373,0.0,0.994,341229568.0,192512.0
7149744128.0,10330112.0,4158484480.0,5419687936.0,85.037,1.995,12.594,0.125,0.0,0.249,281219072.0,0.0
7151308800.0,10338304.0,4328353792.0,5248245760.0,79.802,1.735,16.605,0.248,0.0,1.611,338251776.0,0.0
7157911552.0,10338304.0,4500824064.0,5069172736.0,75.312,1.746,22.319,0.249,0.0,0.374,345817088.0,0.0
7158202368.0,10338304.0,4670812160.0,4898893824.0,74.500,2.250,22.125,0.375,0.0,0.750,339742720.0,0.0
7165034496.0,10346496.0,4834975744.0,4727889920.0,75.155,1.863,22.112,0.373,0.0,0.497,328257536.0,147456.0
7155326976.0,10371072.0,4998062080.0,4574486528.0,76.434,2.244,20.075,0.374,0.0,0.873,325554176.0,303104.0
7162785792.0,10379264.0,5167763456.0,4397318144.0,75.344,2.253,21.902,0.250,0.0,0.250,339173376.0,0.0
7163080704.0,10379264.0,5341159424.0,4223627264.0,74.844,1.877,22.528,0.375,0.0,0.375,346071040.0,0.0
7165939712.0,10379264.0,5510832128.0,4051095552.0,75.344,1.627,22.528,0.375,0.0,0.125,340373504.0,0.0
7165841408.0,10387456.0,5667606528.0,3894411264.0,74.937,2.130,22.431,0.251,0.0,0.251,312844288.0,118784.0
7173193728.0,10399744.0,5828349952.0,3726303232.0,77.233,1.761,20.126,0.503,0.0,0.377,320688128.0,0.0
7174680576.0,10403840.0,6001422336.0,3551739904.0,75.875,2.0,21.625,0.375,0.0,0.125,346783744.0,0.0
7178747904.0,10403840.0,6171824128.0,3377270784.0,75.157,2.008,22.334,0.251,0.0,0.251,340578304.0,0.0
7178391552.0,10403840.0,6343946240.0,3205505024.0,74.749,2.010,22.613,0.251,0.0,0.377,343977984.0,0.0
7181664256.0,10416128.0,6505508864.0,3040657408.0,75.594,2.128,21.527,0.375,0.0,0.375,322330624.0,2813952.0
7184986112.0,10424320.0,6669897728.0,2872938496.0,76.952,2.230,19.827,0.372,0.0,0.620,329334784.0,0.0
7186690048.0,10424320.0,6840918016.0,2700214272.0,74.875,1.875,22.375,0.375,0.0,0.500,341086208.0,0.0
7187451904.0,10424320.0,7010336768.0,2530033664.0,74.718,2.378,22.528,0.250,0.0,0.125,338980864.0,0.0
7189655552.0,10424320.0,7181291520.0,2356875264.0,74.937,2.130,22.180,0.251,0.0,0.501,342872064.0,0.0
7191023616.0,10567680.0,7336689664.0,2199965696.0,76.404,2.372,20.599,0.375,0.0,0.250,309878784.0,180224.0
7193563136.0,10579968.0,7510147072.0,2023956480.0,74.876,2.239,21.891,0.373,0.0,0.622,345694208.0,0.0
7194357760.0,10858496.0,7677251584.0,1855778816.0,75.063,2.130,22.306,0.376,0.0,0.125,333778944.0,0.0
7196946432.0,10858496.0,7848431616.0,1682010112.0,74.718,2.378,22.278,0.250,0.0,0.375,342908928.0,0.0
7198527488.0,10858496.0,8013774848.0,1515085824.0,75.503,1.256,22.613,0.251,0.0,0.377,330207232.0,0.0
7202775040.0,10866688.0,8167608320.0,1356996608.0,80.0,2.250,16.875,0.500,0.0,0.375,307318784.0,131072.0
7202783232.0,10866688.0,8343216128.0,1181380608.0,75.125,2.750,21.625,0.250,0.0,0.250,351125504.0,0.0
7204327424.0,10866688.0,8512671744.0,1010380800.0,75.281,1.623,22.597,0.375,0.0,0.125,339013632.0,0.0
7205908480.0,10866688.0,8685678592.0,835792896.0,75.564,2.005,21.930,0.251,0.0,0.251,345935872.0,0.0
7206547456.0,10866688.0,8842498048.0,678334464.0,75.375,1.875,22.125,0.375,0.0,0.250,313421824.0,0.0
7209680896.0,10895360.0,9009328128.0,508342272.0,76.884,1.884,20.603,0.377,0.0,0.251,332996608.0,167936.0
7210696704.0,10895360.0,9177542656.0,339111936.0,74.751,2.488,21.891,0.373,0.0,0.498,335736832.0,0.0
7211159552.0,10895360.0,9352257536.0,163934208.0,75.251,1.508,22.739,0.251,0.0,0.251,349462528.0,0.0
7211036672.0,10596352.0,9346015232.0,170598400.0,75.062,2.730,21.588,0.372,0.0,0.248,335306752.0,3596288.0
7210729472.0,10600448.0,9345212416.0,171704320.0,76.463,1.993,20.174,0.249,0.0,1.121,305483776.0,4096.0
7219675136.0,10612736.0,9321697280.0,186261504.0,85.093,2.484,10.932,0.373,0.0,1.118,347475968.0,782336.0
7219310592.0,10612736.0,9326772224.0,181551104.0,76.741,2.736,19.279,0.373,0.0,0.871,333234176.0,8192.0
7220256768.0,10612736.0,9330094080.0,177283072.0,75.282,2.133,22.083,0.251,0.0,0.251,340566016.0,4096.0
7220400128.0,10612736.0,9331560448.0,175673344.0,74.813,2.120,22.070,0.249,0.0,0.748,340480000.0,24576.0
7227809792.0,10620928.0,9319555072.0,180260864.0,79.526,2.372,16.979,0.375,0.0,0.749,308379648.0,0.0
7229034496.0,10629120.0,9333297152.0,165285888.0,75.094,2.628,21.527,0.501,0.0,0.250,341319680.0,155648.0
7229083648.0,10629120.0,9333579776.0,164954112.0,75.408,1.882,22.334,0.251,0.0,0.125,344985600.0,0.0
7228846080.0,10629120.0,9334505472.0,164265984.0,74.439,2.618,22.070,0.249,0.0,0.623,338268160.0,0.0
7229349888.0,10629120.0,9319542784.0,178724864.0,75.0,2.638,21.859,0.377,0.0,0.126,323473408.0,61440.0
7221755904.0,10641408.0,9325604864.0,180244480.0,77.792,1.861,18.486,0.248,0.0,1.613,327675904.0,28672.0
7226707968.0,10653696.0,9345638400.0,155246592.0,75.723,2.264,21.509,0.377,0.0,0.126,348483584.0,8192.0
7227559936.0,10661888.0,9340563456.0,159461376.0,74.687,2.632,21.930,0.376,0.0,0.376,339902464.0,147456.0
7225819136.0,10661888.0,9340973056.0,160792576.0,75.594,1.627,22.028,0.375,0.0,0.375,347947008.0,28672.0
7226564608.0,10670080.0,9333157888.0,167854080.0,75.188,2.381,21.554,0.251,0.0,0.627,323751936.0,61440.0
7228751872.0,10674176.0,9329627136.0,169193472.0,79.625,2.125,17.375,0.375,0.0,0.500,325058560.0,57344.0
7230140416.0,10674176.0,9332355072.0,165076992.0,75.750,1.750,21.375,0.250,0.0,0.875,344793088.0,77824.0
7230586880.0,10682368.0,9309089792.0,187887616.0,74.937,2.381,21.930,0.376,0.0,0.376,343687168.0,192512.0
7231037440.0,10682368.0,9312768000.0,183758848.0,75.062,2.369,21.322,0.374,0.0,0.873,335503360.0,28672.0
