[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.1G 68.1M  239M  183M|  2   6  92   0   0   0|8399k 4383k
15.1G 4924k 91.2M  408M|  1  42  57   1   0   0|  34M    0 
15.1G 4924k 91.2M  408M|  1  44  55   0   0   0|  14M    0 
15.1G 5092k 91.2M  408M|  2  40  58   0   0   0|3232k    0 
15.1G 5092k 91.2M  408M|  2  35  63   0   0   0|  16M    0 
15.1G 5092k 91.2M  408M|  4  48  48   0   0   0|  12M 1104k
15.1G 5100k 91.2M  408M|  3  55  42   0   0   0|  12M   64k
15.1G 5100k 91.2M  408M|  5  56  40   0   0   0|  27M    0 
15.1G 5100k 91.2M  408M|  2  84  14   0   0   0|   0     0 
15.1G 5100k 91.2M  408M|  1  93   6   0   0   0|   0     0 
15.1G 5100k 91.2M  408M|  1  69  30   0   0   0|  22M    0 
15.1G 5116k 91.2M  408M|  1  25  73   0   0   0| 198M  216k
15.1G 5116k 91.2M  406M|  1  26  73   0   0   0| 835k  105M
15.1G 5116k 91.2M  406M|  1  32  67   0   0   0|  23k  204M
15.1G 5116k 91.2M  407M|  1  90   9   0   0   0|  18k  109M
15.1G 5116k 91.2M  407M|  4  49  48   0   0   0|  34M  881M
15.1G 5132k 91.2M  406M|  4  19  77   0   0   0|9242k  892M
15.1G 5132k 91.2M  406M|  2  75  24   0   0   0|  10M  721M
15.1G 5132k 91.2M  406M|  1  18  81   0   0   0|  88M   11M
15.1G 5132k 91.2M  406M|  2  15  83   0   0   0|  41M    0 
15.1G 5132k 91.2M  406M|  2  12  86   0   0   0|  57M    0 
15.1G 5148k 91.2M  406M|  1  84  14   0   0   0| 263M 4856k
15.1G 5148k 91.2M  406M|  3  58  39   0   0   0| 383M    0 
15.1G 5148k 91.2M  406M|  3  73  24   0   0   0| 349M   22M
15.1G 5148k 91.2M  407M|  2  41  57   0   0   0| 200M  275M
15.1G 5148k 91.2M  407M|  1  69  30   0   0   0| 142M    0 
15.1G 5156k 91.2M  407M|  2  45  53   0   0   0| 192M   32k
15.1G 5164k 91.2M  407M|  1  91   8   0   0   0| 169M 4680k
15.1G 5164k 91.2M  407M|  2  66  32   0   0   0| 134M   60M
15.1G 5164k 91.3M  406M|  3  66  32   0   0   0|  63M  471M
15.1G 5164k 91.3M  405M|  2  83  15   0   0   0|  19M  672M
15.1G 5180k 91.3M  408M|  2  88  10   0   0   0|4656k  287M
15.1G 5188k 91.3M  408M|  2  53  45   0   0   0|  95M   43M
15.1G 5188k 91.3M  408M|  2  18  80   0   0   0| 216M    0 
15.1G 5188k 91.3M  408M|  2  37  61   0   0   0| 237M    0 
15.1G 5188k 91.3M  408M|  2  15  82   0   0   0| 218M    0 
15.1G 5200k 91.3M  408M|  2  16  82   0   0   0| 202M  128k
15.1G 5208k 91.3M  408M|  2  17  81   0   0   0| 206M   24k
