"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_flink_16_2133_2_0_8.csv",,,,"Date:","15 Jun 2018 01:43:03 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
16224497664.0,71401472.0,250318848.0,192028672.0,2.050,6.101,91.796,0.034,0.0,0.019,8600374.081,4488077.236
16209350656.0,5042176.0,95608832.0,428244992.0,0.888,41.751,56.726,0.508,0.0,0.127,35409920.0,0.0
16209477632.0,5042176.0,95608832.0,428118016.0,0.629,44.277,54.969,0.0,0.0,0.126,14442496.0,0.0
16209428480.0,5214208.0,95612928.0,427991040.0,2.239,39.925,57.711,0.124,0.0,0.0,3309568.0,0.0
16209424384.0,5214208.0,95617024.0,427991040.0,2.399,34.722,62.753,0.0,0.0,0.126,17125376.0,0.0
16209424384.0,5214208.0,95617024.0,427991040.0,4.213,47.955,47.831,0.0,0.0,0.0,13029376.0,1130496.0
16209670144.0,5222400.0,95617024.0,427737088.0,3.496,54.557,41.948,0.0,0.0,0.0,12454912.0,65536.0
16209678336.0,5222400.0,95625216.0,427720704.0,4.750,55.500,39.750,0.0,0.0,0.0,28826624.0,0.0
16209678336.0,5222400.0,95625216.0,427720704.0,1.873,84.395,13.733,0.0,0.0,0.0,0.0,0.0
16209657856.0,5222400.0,95629312.0,427737088.0,1.264,92.668,6.068,0.0,0.0,0.0,0.0,0.0
16209612800.0,5222400.0,95633408.0,427778048.0,0.999,68.539,30.212,0.0,0.0,0.250,23454720.0,0.0
16209596416.0,5238784.0,95633408.0,427778048.0,1.132,25.409,73.333,0.126,0.0,0.0,208129024.0,221184.0
16211218432.0,5238784.0,95637504.0,426151936.0,0.757,25.977,73.266,0.0,0.0,0.0,855040.0,109965312.0
16211357696.0,5238784.0,95641600.0,426008576.0,1.004,32.246,66.750,0.0,0.0,0.0,23552.0,213909504.0
16210878464.0,5238784.0,95641600.0,426487808.0,1.253,90.100,8.647,0.0,0.0,0.0,18432.0,114720768.0
16210804736.0,5238784.0,95645696.0,426557440.0,3.666,48.546,47.788,0.0,0.0,0.0,35585024.0,923541504.0
16211193856.0,5255168.0,95645696.0,426151936.0,3.553,19.289,77.030,0.127,0.0,0.0,9463808.0,935845888.0
16211447808.0,5255168.0,95645696.0,425897984.0,1.882,74.529,23.588,0.0,0.0,0.0,10314752.0,756170752.0
16211886080.0,5255168.0,95653888.0,425451520.0,1.272,17.812,80.916,0.0,0.0,0.0,92520448.0,11010048.0
16211902464.0,5255168.0,95662080.0,425426944.0,2.008,15.056,82.936,0.0,0.0,0.0,42747904.0,0.0
16211935232.0,5255168.0,95662080.0,425394176.0,1.995,11.596,86.284,0.125,0.0,0.0,59874304.0,0.0
16211943424.0,5271552.0,95653888.0,425377792.0,1.269,84.391,14.340,0.0,0.0,0.0,275386368.0,4972544.0
16211939328.0,5271552.0,95666176.0,425369600.0,2.753,57.947,39.299,0.0,0.0,0.0,401130496.0,0.0
16211939328.0,5271552.0,95666176.0,425369600.0,2.635,73.400,23.965,0.0,0.0,0.0,365694976.0,23437312.0
16210137088.0,5271552.0,95666176.0,427171840.0,2.270,41.110,56.620,0.0,0.0,0.0,209806336.0,288399360.0
16210460672.0,5271552.0,95670272.0,426844160.0,1.135,68.726,30.013,0.0,0.0,0.126,148665344.0,0.0
16210579456.0,5279744.0,95670272.0,426717184.0,1.772,44.684,53.418,0.127,0.0,0.0,201432064.0,32768.0
