"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_hadoop_16_2133_2_0_8.csv",,,,"Date:","15 Jun 2018 03:25:30 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
16207671296.0,8294400.0,97198080.0,425082880.0,2.036,6.828,91.083,0.034,0.0,0.019,9652232.737,4811387.507
16207732736.0,8294400.0,97808384.0,424411136.0,1.370,19.801,78.829,0.0,0.0,0.0,62364672.0,2203648.0
16207691776.0,8589312.0,97808384.0,424157184.0,0.873,23.566,75.561,0.0,0.0,0.0,18767872.0,0.0
16207691776.0,8589312.0,97808384.0,424157184.0,1.003,11.028,87.970,0.0,0.0,0.0,11370496.0,0.0
16210321408.0,4231168.0,95604736.0,428089344.0,0.747,18.804,79.826,0.498,0.0,0.125,7908352.0,356352.0
16210411520.0,4235264.0,95637504.0,427962368.0,0.500,27.0,72.375,0.0,0.0,0.125,87040.0,0.0
16210374656.0,4526080.0,95637504.0,427708416.0,0.375,13.642,85.982,0.0,0.0,0.0,590848.0,0.0
16210370560.0,4526080.0,95641600.0,427708416.0,0.376,28.571,71.053,0.0,0.0,0.0,183296.0,1581056.0
16210370560.0,4526080.0,95641600.0,427708416.0,0.126,11.252,88.496,0.126,0.0,0.0,2800640.0,28672.0
16210370560.0,4534272.0,95633408.0,427708416.0,0.378,26.356,73.266,0.0,0.0,0.0,2722816.0,45056.0
16210358272.0,4534272.0,95645696.0,427708416.0,0.752,24.060,75.188,0.0,0.0,0.0,21796864.0,94208.0
16210382848.0,4534272.0,95653888.0,427675648.0,0.998,11.970,87.032,0.0,0.0,0.0,16092160.0,430080.0
16210374656.0,4542464.0,95653888.0,427675648.0,1.247,24.688,73.940,0.125,0.0,0.0,23675904.0,139264.0
16210251776.0,4542464.0,95657984.0,427794432.0,1.735,16.481,81.660,0.0,0.0,0.124,55789568.0,540672.0
16210243584.0,4550656.0,95657984.0,427794432.0,2.256,12.030,85.714,0.0,0.0,0.0,67295232.0,32768.0
16210239488.0,4550656.0,95662080.0,427794432.0,1.131,20.729,78.141,0.0,0.0,0.0,73950208.0,0.0
16210235392.0,4550656.0,95666176.0,427794432.0,1.866,17.164,80.846,0.0,0.0,0.124,79725568.0,0.0
16210362368.0,4550656.0,95666176.0,427667456.0,1.643,14.539,83.818,0.0,0.0,0.0,81335296.0,0.0
16210362368.0,4558848.0,95657984.0,427667456.0,1.625,18.500,79.750,0.125,0.0,0.0,60138496.0,4440064.0
16210722816.0,4567040.0,95670272.0,427286528.0,1.759,13.191,85.050,0.0,0.0,0.0,40304640.0,32768.0
16210718720.0,4567040.0,95674368.0,427286528.0,1.748,12.360,85.768,0.125,0.0,0.0,30581760.0,0.0
16210718720.0,4567040.0,95674368.0,427286528.0,1.494,34.745,63.512,0.0,0.0,0.249,25683968.0,0.0
16210718720.0,4567040.0,95674368.0,427286528.0,0.374,28.429,71.072,0.0,0.0,0.125,1033216.0,0.0
16210714624.0,4575232.0,95678464.0,427278336.0,0.501,35.044,64.456,0.0,0.0,0.0,9934848.0,409600.0
16210714624.0,4583424.0,95670272.0,427278336.0,0.867,37.918,61.090,0.124,0.0,0.0,15430656.0,32768.0
16210702336.0,4583424.0,95682560.0,427278336.0,0.378,24.086,75.536,0.0,0.0,0.0,2905088.0,151552.0
16210694144.0,4583424.0,95690752.0,427278336.0,0.378,3.531,96.091,0.0,0.0,0.0,6038528.0,0.0
16210694144.0,4583424.0,95690752.0,427278336.0,0.881,38.239,60.755,0.0,0.0,0.126,12910592.0,0.0
16210726912.0,4583424.0,95690752.0,427245568.0,0.883,97.352,1.765,0.0,0.0,0.0,435200.0,0.0
16211095552.0,4599808.0,95686656.0,426864640.0,0.755,97.107,2.138,0.0,0.0,0.0,460800.0,729088.0
16211083264.0,4599808.0,95698944.0,426864640.0,1.263,97.601,1.136,0.0,0.0,0.0,401408.0,0.0
16211206144.0,4599808.0,95703040.0,426737664.0,1.267,92.522,6.210,0.0,0.0,0.0,132458496.0,5292032.0
16211173376.0,4878336.0,95711232.0,426483712.0,0.999,86.017,12.984,0.0,0.0,0.0,158419968.0,0.0
16211173376.0,4878336.0,95711232.0,426483712.0,1.519,92.025,6.329,0.0,0.0,0.127,120884224.0,0.0
16211288064.0,5050368.0,95551488.0,426356736.0,1.138,92.920,5.942,0.0,0.0,0.0,30415872.0,995328.0
16211247104.0,5050368.0,95719424.0,426229760.0,1.122,76.559,21.571,0.0,0.0,0.748,353280.0,0.0
16211247104.0,5050368.0,95719424.0,426229760.0,0.878,75.157,23.839,0.0,0.0,0.125,312320.0,0.0
16211247104.0,5050368.0,95719424.0,426229760.0,1.134,91.184,7.557,0.0,0.0,0.126,15051776.0,0.0
16211243008.0,5050368.0,95723520.0,426229760.0,2.897,88.791,8.312,0.0,0.0,0.0,57718784.0,0.0
16211234816.0,5066752.0,95715328.0,426229760.0,2.414,89.454,8.005,0.0,0.0,0.127,132299776.0,258048.0
16211202048.0,5087232.0,95727616.0,426229760.0,1.513,95.208,3.279,0.0,0.0,0.0,58005504.0,45056.0
16211197952.0,5087232.0,95731712.0,426229760.0,1.125,79.500,19.250,0.0,0.0,0.125,8099840.0,0.0
16211193856.0,5087232.0,95735808.0,426229760.0,1.132,79.245,19.623,0.0,0.0,0.0,503808.0,0.0
16211189760.0,5087232.0,95739904.0,426229760.0,1.256,87.437,11.181,0.0,0.0,0.126,15538176.0,0.0
16211177472.0,5103616.0,95735808.0,426229760.0,2.405,87.215,10.253,0.0,0.0,0.127,120281088.0,3170304.0
16211169280.0,5103616.0,95744000.0,426229760.0,2.408,92.269,5.323,0.0,0.0,0.0,103871488.0,0.0
16211169280.0,5103616.0,95744000.0,426229760.0,1.014,91.762,7.224,0.0,0.0,0.0,21457920.0,0.0
16211165184.0,5103616.0,95748096.0,426229760.0,1.232,75.985,22.537,0.0,0.0,0.246,747520.0,0.0
16211161088.0,5103616.0,95752192.0,426229760.0,0.989,78.245,20.766,0.0,0.0,0.0,16067584.0,0.0
16211247104.0,5144576.0,95752192.0,426102784.0,1.761,82.642,15.472,0.126,0.0,0.0,91607040.0,204800.0
16211365888.0,5144576.0,95760384.0,425975808.0,1.993,91.283,6.725,0.0,0.0,0.0,109640704.0,0.0
16211365888.0,5144576.0,95760384.0,425975808.0,1.399,90.840,7.634,0.0,0.0,0.127,37607424.0,0.0
16211361792.0,5144576.0,95764480.0,425975808.0,1.250,77.625,20.875,0.0,0.0,0.250,1565696.0,0.0
16211607552.0,5144576.0,95772672.0,425721856.0,0.882,76.448,22.544,0.0,0.0,0.126,21341184.0,0.0
16211615744.0,5160960.0,95764480.0,425705472.0,1.733,82.178,15.965,0.0,0.0,0.124,79834112.0,4071424.0
16211603456.0,5160960.0,95776768.0,425705472.0,1.255,90.590,8.156,0.0,0.0,0.0,104006656.0,0.0
16211599360.0,5160960.0,95780864.0,425705472.0,1.378,91.855,6.767,0.0,0.0,0.0,42855424.0,0.0
16211615744.0,5160960.0,95780864.0,425689088.0,0.625,79.500,19.625,0.0,0.0,0.250,3827712.0,0.0
16211599360.0,5165056.0,95793152.0,425689088.0,1.360,76.885,21.755,0.0,0.0,0.0,25523200.0,0.0
16211574784.0,5181440.0,95801344.0,425689088.0,1.252,83.354,15.019,0.0,0.0,0.375,69633024.0,221184.0
16211574784.0,5181440.0,95801344.0,425689088.0,1.380,90.339,8.281,0.0,0.0,0.0,86597632.0,0.0
16211574784.0,5181440.0,95801344.0,425689088.0,0.875,92.0,7.125,0.0,0.0,0.0,33063936.0,0.0
16211599360.0,5181440.0,95809536.0,425656320.0,0.627,81.704,17.544,0.0,0.0,0.125,65536.0,0.0
16211595264.0,5181440.0,95813632.0,425656320.0,0.876,76.471,22.528,0.0,0.0,0.125,929792.0,0.0
16211574784.0,5201920.0,95813632.0,425656320.0,0.872,76.588,22.540,0.0,0.0,0.0,8768512.0,196608.0
16211558400.0,5201920.0,95830016.0,425656320.0,0.864,79.506,19.506,0.0,0.0,0.123,13223936.0,184320.0
16211533824.0,5201920.0,95854592.0,425656320.0,1.135,91.173,7.692,0.0,0.0,0.0,1117184.0,0.0
16211533824.0,5201920.0,95854592.0,425656320.0,0.745,90.435,8.696,0.0,0.0,0.124,1747968.0,0.0
16211525632.0,5201920.0,95862784.0,425656320.0,1.498,92.260,6.242,0.0,0.0,0.0,7615488.0,0.0
16211517440.0,5218304.0,95854592.0,425656320.0,1.896,96.587,1.391,0.0,0.0,0.126,47720448.0,843776.0
16211505152.0,5218304.0,95866880.0,425656320.0,1.009,97.730,1.261,0.0,0.0,0.0,50671616.0,151552.0
16211501056.0,5218304.0,95870976.0,425656320.0,1.391,97.598,1.011,0.0,0.0,0.0,73195520.0,0.0
16211501056.0,5218304.0,95870976.0,425656320.0,1.005,93.216,5.779,0.0,0.0,0.0,124052480.0,5308416.0
16211501056.0,5218304.0,95870976.0,425656320.0,1.121,90.785,8.095,0.0,0.0,0.0,98539520.0,0.0
16211615744.0,5234688.0,95866880.0,425529344.0,0.878,97.365,1.757,0.0,0.0,0.0,41849856.0,2441216.0
16211599360.0,5234688.0,95883264.0,425529344.0,0.745,91.180,7.950,0.0,0.0,0.124,17165312.0,24576.0
16211599360.0,5234688.0,95883264.0,425529344.0,0.498,84.932,14.321,0.0,0.0,0.249,27110400.0,0.0
16211599360.0,5234688.0,95883264.0,425529344.0,0.755,93.836,5.283,0.0,0.0,0.126,30525440.0,0.0
16211558400.0,5234688.0,95891456.0,425562112.0,0.627,89.711,9.661,0.0,0.0,0.0,38333440.0,0.0
16211550208.0,5251072.0,95883264.0,425562112.0,0.886,86.329,12.658,0.0,0.0,0.127,95411200.0,217088.0
16211542016.0,5251072.0,95891456.0,425562112.0,0.503,90.327,9.171,0.0,0.0,0.0,42134528.0,0.0
16211501056.0,5251072.0,95899648.0,425594880.0,0.750,82.625,16.625,0.0,0.0,0.0,29586432.0,0.0
16211501056.0,5251072.0,95899648.0,425594880.0,1.500,85.875,12.375,0.0,0.0,0.250,30484480.0,0.0
16211468288.0,5251072.0,95899648.0,425627648.0,0.885,89.507,9.608,0.0,0.0,0.0,28157952.0,0.0
16211460096.0,5267456.0,95891456.0,425627648.0,1.119,82.587,16.045,0.124,0.0,0.124,90733568.0,196608.0
16211443712.0,5267456.0,95907840.0,425627648.0,0.753,91.468,7.779,0.0,0.0,0.0,68734976.0,0.0
16211439616.0,5267456.0,95911936.0,425627648.0,1.377,83.730,14.643,0.0,0.0,0.250,27227136.0,0.0
16211435520.0,5267456.0,95916032.0,425627648.0,0.627,83.438,15.935,0.0,0.0,0.0,28780544.0,0.0
16211935232.0,5267456.0,95916032.0,425127936.0,0.627,83.835,15.539,0.0,0.0,0.0,36792320.0,5619712.0
