"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hosein-New-Server",,,,"User:","root"
"Cmdline:","dstat -m -c -d --output stat_spark_16_2133_2_0_8.csv",,,,"Date:","15 Jun 2018 02:26:30 EDT"

"memory usage",,,,"total cpu usage",,,,,,"dsk/total",
"used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ"
16210657280.0,3600384.0,94511104.0,429477888.0,2.044,6.531,91.372,0.034,0.0,0.019,9330041.237,4669759.319
16213434368.0,5185536.0,95457280.0,424169472.0,1.003,20.802,77.820,0.376,0.0,0.0,13698048.0,0.0
16213458944.0,5476352.0,95494144.0,423817216.0,0.380,25.475,74.144,0.0,0.0,0.0,16947200.0,0.0
16213454848.0,5476352.0,95498240.0,423817216.0,0.377,10.818,88.805,0.0,0.0,0.0,857088.0,0.0
16213417984.0,5644288.0,95367168.0,423817216.0,0.503,26.256,73.116,0.0,0.0,0.126,2834432.0,0.0
16213405696.0,5652480.0,95498240.0,423690240.0,0.753,28.858,70.138,0.125,0.0,0.125,11928576.0,61440.0
16213393408.0,5652480.0,95510528.0,423690240.0,1.004,54.078,44.918,0.0,0.0,0.0,8053760.0,385024.0
16213393408.0,5652480.0,95510528.0,423690240.0,0.635,67.005,32.360,0.0,0.0,0.0,18172928.0,0.0
16213327872.0,5652480.0,95510528.0,423755776.0,0.378,56.171,43.325,0.0,0.0,0.126,3182592.0,143360.0
16213323776.0,5652480.0,95514624.0,423755776.0,0.504,73.174,26.322,0.0,0.0,0.0,1492992.0,0.0
16213323776.0,5652480.0,95514624.0,423755776.0,0.753,60.351,38.896,0.0,0.0,0.0,94784512.0,0.0
16213401600.0,5668864.0,95514624.0,423661568.0,0.753,89.711,9.536,0.0,0.0,0.0,139294720.0,974848.0
16213655552.0,5668864.0,95514624.0,423407616.0,0.758,78.030,21.212,0.0,0.0,0.0,266430464.0,0.0
16213655552.0,5668864.0,95514624.0,423407616.0,1.132,76.478,22.264,0.0,0.0,0.126,309974016.0,0.0
16213774336.0,5668864.0,95522816.0,423280640.0,0.873,79.551,19.451,0.0,0.0,0.125,309489664.0,0.0
16213803008.0,5668864.0,95526912.0,423247872.0,1.252,78.473,20.275,0.0,0.0,0.0,308989952.0,0.0
16213794816.0,5677056.0,95526912.0,423247872.0,1.003,84.085,14.787,0.0,0.0,0.125,203289600.0,32768.0
